"CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18"
pgc,SNIa,1PGC,Nest,muCV,emu,zh,z3k,sBV,esBV,Dm15,eDm15,Vmax,eVmax,EBV,eEBV,Rv,eRv,covER,Q,RA,Dec,glon,glat,sgl,sgb
%7s,%6s,%7d,%6d,%5.2f,%4.2f,%7.4f,%7.4f,%5.3f,%5.3f,%5.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%3.1f,%3.1f,%7.4f,%4.2f,%8.4f,%8.4f,%8.4f,%8.4f,%8.4f,%8.4f
---,,,,mag,mag,,,,,mag,mag,mag,mag,mag,mag,,,,,deg,deg,deg,deg,deg,deg
"The Catalogue of Principal Galaxies (PGC) Number","Supernova identification","PGC ID of dominant member of group","Nest ID in 2MASS group catalog by Tully(2015)","Cross-validated distance modulus (Riess16 zero point)","Error in distance modulus","Heliocentric redshift","Redshift in CMB frame","Color stretch parameter","Error in color stretch parameter","Delta_m15_(B) parameter","Error in delta_m15_(B) parameter","V magnitude at maximum","Error in V magnitude at maximum","B-V color excess","Error in B-V color excess","Reddening slope","Error in reddening slope","Covariance between E(B-V) and Rv","Quality parameter","Right ascension in degrees (J2000)","Declination in degrees (2000)","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude"
38146,2008bf,38156,100018,35.10,0.05,0.0235,0.0246,1.022,0.030,0.927,0.060,15.744,0.004,0.014,0.012,1.1,1.4,-0.0067,0.98,181.0121,20.2452,242.8246,77.1630,93.4133,-6.0567
38169,2005bl,38156,100018,35.06,0.09,0.0240,0.0251,0.387,0.032,1.906,0.061,17.806,0.022,0.330,0.033,1.9,0.6,-0.0052,0.97,181.0510,20.4068,242.3148,77.2845,93.2719,-5.9690
39401,2005bg,0,0,35.04,0.07,0.0231,0.0242,1.002,0.040,1.023,0.079,15.828,0.037,0.075,0.029,1.9,0.8,-0.0021,0.98,184.3218,16.3715,264.8527,76.6470,98.1020,-4.3040
40153,2006X,41220,100002,30.97,0.13,0.0052,0.0063,0.972,0.031,1.057,0.062,14.018,0.008,1.352,0.018,1.8,0.1,-0.0006,0.70,185.7247,15.8089,271.1507,76.8853,99.0465,-3.1882
40400,2008ar,40183,101087,35.33,0.04,0.0261,0.0273,0.971,0.031,1.006,0.061,16.205,0.007,0.103,0.015,1.6,0.6,-0.0043,0.98,186.1580,10.8382,280.4863,72.5314,103.9317,-4.2477
40809,2012cg,41220,100002,30.84,0.38,0.0015,0.0026,1.056,0.031,0.772,0.062,11.929,0.006,0.162,0.015,2.9,0.4,-0.0043,0.89,186.8035,9.4203,283.8968,71.3912,105.4766,-4.0488
41823,1981B,41789,170002,30.89,0.15,0.0060,0.0072,0.921,0.031,1.140,0.062,11.886,0.007,0.147,0.023,1.7,0.5,-0.0065,0.98,188.6232,2.1998,292.9699,64.7432,112.9348,-4.3376
42741,1990N,42741,150002,31.78,0.29,0.0030,0.0041,1.122,0.031,0.961,0.061,12.677,0.007,0.128,0.016,2.3,0.7,-0.0021,0.92,190.7362,13.2565,294.3676,75.9867,102.8801,0.7309
43319,2007N,43763,100015,33.93,0.09,0.0129,0.0140,0.304,0.031,1.888,0.060,17.073,0.013,0.436,0.037,1.3,0.3,-0.0035,0.97,192.2552,-9.4528,301.9518,52.6519,125.9005,-4.1746
43382,2005bo,43382,110832,33.79,0.10,0.0139,0.0150,0.850,0.031,1.293,0.063,15.423,0.005,0.333,0.016,2.2,0.5,-0.0032,0.94,192.4210,-11.0965,302.2399,51.5941,126.9690,-4.2955
43690,2006D,43690,112531,32.97,0.10,0.0085,0.0096,0.814,0.030,1.375,0.060,14.084,0.004,0.135,0.015,1.6,0.5,-0.0039,0.96,193.1411,-9.7752,303.3868,52.4613,126.3186,-3.3851
46081,2008cd,46247,100019,32.39,0.29,0.0074,0.0085,1.012,0.085,1.071,0.169,17.152,0.068,1.911,0.074,2.1,0.4,-0.0160,0.89,198.7573,-15.9519,311.0146,45.6242,134.0323,0.0995
46959,2007cg,46933,100574,35.34,0.08,0.0332,0.0342,1.108,0.055,0.811,0.079,17.545,0.056,0.738,0.044,2.2,0.3,-0.0083,0.16,201.3899,-24.6523,312.6360,37.1491,142.5938,0.0627
47422,2006br,47373,102424,35.03,0.06,0.0246,0.0255,0.909,0.042,1.107,0.093,18.009,0.052,0.997,0.045,2.2,0.2,-0.0073,0.96,202.5075,13.4158,338.1700,73.5876,105.6574,11.8483
47514,2007ca,47514,0,33.96,0.07,0.0141,0.0151,1.058,0.031,0.872,0.061,15.632,0.006,0.343,0.021,3.1,0.3,-0.0049,0.97,202.7742,-15.1018,316.8996,46.5167,133.6321,4.2586
49090,2005al,49025,100011,34.07,0.07,0.0124,0.0133,0.858,0.030,1.340,0.060,14.936,0.005,0.009,0.009,1.6,1.3,-0.0019,0.96,207.5062,-30.5784,317.2899,29.6730,150.4703,3.0547
50063,2011fe,50063,101379,29.11,0.87,0.0008,0.0012,0.946,0.030,1.068,0.060,9.968,0.003,0.117,0.014,0.9,0.4,-0.0031,0.98,210.7738,54.2737,101.9833,59.8435,63.6642,22.6021
51344,2007af,51344,112716,31.98,0.14,0.0055,0.0063,0.926,0.030,1.084,0.061,13.074,0.005,0.166,0.015,2.0,0.4,-0.0036,0.95,215.5876,-0.3938,344.4092,54.3210,123.7262,20.6678
52091,2003du,52091,0,32.84,0.16,0.0064,0.0067,1.006,0.030,0.979,0.060,13.534,0.004,0.025,0.013,1.0,1.3,-0.0063,0.98,218.6492,59.3344,101.1798,53.2184,57.4520,26.0764
52521,2009Y,52521,108188,33.13,0.09,0.0094,0.0101,1.189,0.031,1.026,0.062,13.861,0.008,0.146,0.026,1.3,0.5,-0.0069,0.97,220.5986,-17.2467,337.0417,37.7384,142.1320,19.3884
54516,2007ba,54526,100094,35.69,0.04,0.0385,0.0391,0.542,0.031,1.685,0.062,17.436,0.009,0.200,0.022,1.0,0.4,-0.0036,0.31,229.1742,7.3969,9.8913,50.3419,118.6952,36.0249
54817,2005cf,54809,102898,32.33,0.15,0.0065,0.0070,0.970,0.031,1.039,0.102,13.210,0.007,0.093,0.019,2.3,0.6,-0.0062,0.98,230.3880,-7.4492,354.1157,39.3039,136.9790,31.9954
57502,2007ai,57502,105973,35.62,0.05,0.0316,0.0320,1.229,0.032,0.844,0.062,16.842,0.008,0.229,0.043,2.4,0.6,-0.0144,0.97,243.2239,-21.6302,352.7271,20.8110,158.9383,35.2216
63413,2008fl,63413,207104,34.44,0.06,0.0199,0.0194,0.855,0.035,1.329,0.070,15.578,0.038,0.129,0.029,2.0,0.7,-0.0106,0.96,294.1868,-37.5513,0.7223,-24.8693,216.4095,34.9419
