"LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13"
pgc,SNIa,1PGC,Nest,RA,Dec,z3k,B,eB,x1,ex1,c,ec,mu,emu,Sample,Ref
%7s,%9s,%7d,%6d,%11s,%11s,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5s,%2d
---,,,,hms,dms,,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Supernova identification","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Right ascension J2000","Declination J2000","Redshift in CMB frame","B magnitude at maximum","Error in B magnitude at maximum","SALT2 light curve width x1 parameter","Error in SALT2 x1 parameter","SALT2 color c parameter","Error in SALT2 c parameter","Distance modulus","Error in distance modulus","LOSS sample","LOSS reference code"
43170,"SN 2001cz",43296,100003,"12 47 30.17","-39 34 48.1",0.016,15.048,0.028,0.114,0.083,0.048,0.027,33.975,0.190,Low-z,7
43382,"SN 2005bo",43382,110832,"12 49 41.03","-11 05 47.4",0.015,15.646,0.023,-1.002,0.139,0.218,0.025,33.873,0.199,Low-z,3
44205,"SN 2007bz",0,0,"12 56 53.77","+22 22 22.1",0.023,16.654,0.038,1.340,0.197,0.093,0.033,35.617,0.174,Low-z,5
45085,"SN 2007F",45015,109691,"13 03 15.08","+50 37 07.7",0.024,15.884,0.028,0.610,0.057,-0.059,0.027,35.220,0.164,Low-z,5
45498,"SN 2002G",45778,100081,"13 07 55.26","+34 05 06.5",0.035,17.643,0.034,-1.319,0.259,0.266,0.031,35.669,0.157,Low-z,2
45908,"SN 2002dj",45908,100501,"13 13 00.34","-19 31 08.7",0.010,13.880,0.028,-0.276,0.075,0.004,0.026,32.889,0.249,Low-z,2
46239,"SN 2004E",0,0,"13 16 51.40","+31 35 11.8",0.031,16.237,0.042,-0.393,0.126,-0.158,0.029,35.740,0.155,Low-z,2
46657,"SN 2001cj",46819,100318,"13 21 44.85","+31 14 48.6",0.025,15.843,0.028,0.567,0.092,-0.096,0.026,35.291,0.162,Low-z,2
46779,"SN 1991U",46779,100907,"13 23 22.00","-26 06 30.0",0.032,16.436,0.054,0.244,0.174,0.045,0.035,35.392,0.157,Low-z,6
47318,"SN 2008s1",47346,100049,"13 29 12.82","+11 16 20.6",0.023,15.854,0.031,-1.412,0.093,-0.161,0.029,35.218,0.169,Low-z,2
47514,"SN 2007ca",47514,0,"13 31 05.81","-15 06 06.6",0.015,15.921,0.028,0.612,0.091,0.198,0.027,34.446,0.199,Low-z,5
