"Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa"
pgc,1PGC,Nest,SNIa,DM,eDM,Vcmb,Vrc3,J2000,RA,De,Glon,Glat,SGL,SGB,Ty,Ag,SSubsamp
%7s,%7d,%6d,%29s,%5.2f,%4.2f,%5d,%5d,%16s,%10.6f,%10.6f,%8.4f,%8.4f,%8.4f,%8.4f,%4s,%5.3f,%10s
---,,,,mag,mag,km/s,km/s,"hms,dds",deg,deg,deg,deg,deg,deg,,mag,
"The Catalogue of Principal Galaxies (PGC) Number","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Supernova identification","Distance modulus","Error in distance modulus","Velocity of supernova in CMB frame","Heliocentric velocity of supernova host from RC3","J2000 right ascension and declination of host","Right ascension (J2000) of SNII in degrees","Declination (J2000) of SNII in degrees","Galactic Longitude of host","Galactic Latitude of host","Supergalactic Longitude of host","Supergalactic Latitude of host","Type code given in RC3","Extinction at B band from RC3","Subsample in Stahl collection"
10998,11105,200046,SN2006os,35.77,0.42,9857,9836,J025500.6+160044,43.754200,16.009700,161.3790,-37.4676,321.8721,-22.8265,3.4,0.634,snapshot
11179,11188,200012,2016hgw,35.02,0.20,6946,6918,J025733.6+055837,44.391800,5.978100,170.2751,-44.9901,311.9591,-27.3672,-2.3,0.810,Foundation
11254,11188,200012,SN2009hp,34.90,0.31,6946,6298,J025824.6+063531,44.599800,6.593100,169.9309,-44.3878,312.6904,-27.3401,-2.3,0.995,snapshot
11355,11345,202118,SN2019oml,35.31,0.37,9683,9893,J030020.0+184431,45.084500,18.743600,160.7204,-34.5046,325.1371,-22.7680,5.4,0.953,snapshot
11470,0,0,2008fu,36.70,0.12,15538,15595,J030228.7-242721,45.618800,-23.544000,215.1869,-60.4651,277.3033,-35.0786,5,0.095,CSP
11545,11545,200775,2008R,33.73,0.16,3864,4049,J030354.5-115931,45.973800,-10.005700,193.4884,-55.4756,292.3864,-33.9419,-2.9,0.313,CSP
11606,11641,201022,sn1992bc,34.58,0.15,5933,6074,J030515.8-393340,46.364700,-39.571800,245.6973,-59.6393,258.8288,-34.8809,3.7,0.094,A1
11767,11767,202582,SN2005eq,35.44,0.16,8499,8675,J030848.3-070226,47.205700,-7.030800,187.6387,-51.7392,298.5327,-34.0399,1.4,0.322,A1
11817,12429,200001,SN2015az,34.47,0.39,5861,6031,J030942.7+405827,47.427100,40.974800,149.2241,-14.7329,346.2904,-13.0296,3.1,0.722,snapshot
12208,12429,200001,sn2008l,34.18,0.25,5300,5831,J031717.3+412306,49.294600,41.428500,150.2418,-13.6252,347.4848,-13.9525,-3,0.688,A1
12241,12237,200499,sn2006gj,35.45,0.19,8298,8482,J031734.5-014142,49.428200,-1.670000,183.1963,-46.7426,305.4885,-34.6586,2,0.364,A1
12429,12429,200001,sn2005mz,34.08,0.19,5300,5263,J031948.3+413042,49.948600,41.466200,150.5762,-13.2611,347.8786,-14.2566,-2.2,0.706,A1
12626,12626,211466,sn2002fk,32.41,0.22,2096,2136,J032206.6-152400,50.486300,-15.417300,202.2020,-53.1568,289.1178,-38.8658,3.9,0.173,A1
12651,12651,200015,"sn1980n + sn1981d",31.19,0.33,1325,1788,J032242.0-371230,50.658500,-37.227400,240.1629,-56.6891,261.0447,-38.6301,-1.8,0.091,A1/A1
12669,12669,202268,2008gp,35.72,0.35,9848,9906,J032300.0+012157,50.753000,1.361900,181.1129,-43.7329,309.5517,-34.9363,1.5,0.521,LOSS2
13179,13418,200015,SN2012fr,31.14,0.35,1538,1638,J033336.4-360826,53.400000,-36.127100,237.9564,-54.5979,261.8963,-40.9741,3.2,0.089,snapshot
