"Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa"
pgc,objname,J2000,Typ,Imag,logD25,Inc,Vhel,SNIa,Vcmb,mB0,emB0,X1,eX1,C,eC,mu0,emu0,Samp,Cuts
%7s,%10s,%16s,%2d,%5s,%5.3f,%2d,%5d,%6s,%5d,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%3d,%5s
---,,"hms,dms",,mag,0.1arcmin,deg,km/s,,km/s,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Galaxy name","RA, Dec; J2000","Morphological T type of host [RC3]","I magnitude of host [RC3]","Log diameter at 25 mag/as^2 blue isophote [RC3]","Inclination from face on [RC3]","Host galaxy Heliocentric velocity","Supernova name","Supernova velocity in CMB","Apparent magnitude in B of SNIa at maximum","Error in SNIa B apparent magnitude at maximum","SALT2 parameter X1","Error in SALT2 parameter X1","SALT2 parameter C","Error in SALT2 parameter C","Union2 distance modulus; 2 SNIa averaged in 4 cases (PGSs 6007, 27351, 48860, 50323)","Error in distance modulus","Sample: 1-17; see Amanullah et al.","Cuts: z=redshift<0.015; o=outlier; d=observations <5; f+bad light curve; p=first phase >6 days after B maximum"
16537,UGC03218,J050043.7+621439,3,,1.243,56,5225,2006le,5187,14.73,0.16,0.63,0.08,-0.04,0.01,33.50,0.22,6,
16899,NGC1819,J051146.1+051202,-2,,1.186,56,4483,2005el,4467,14.80,0.15,-1.79,0.09,-0.05,0.02,33.29,0.21,6,z
17509,UGC03329,J053632.4+163829,4,,1.118,70,5259,1999ek,5276,15.59,0.18,-1.08,0.15,0.17,0.01,33.61,0.27,4,
17787,PGC017787,J054624.6+632133,-2,,,,,1993ac,14660,17.72,0.08,-1.16,0.37,0.07,0.04,36.00,0.18,3,
18089,UGC03375,J055525.3+515438,5,11.51,1.184,64,5784,2001gc,5786,15.52,0.24,0.17,0.92,0.21,0.11,33.48,0.22,6,p
18373,PGC018373,J060434.1-123724,3,12.65,1.392,90,2216,2003kf,2308,13.22,0.29,0.26,0.12,-0.01,0.01,31.85,0.33,6,z
18467,PGC018467,J060830.4+644325,-2,,1.060,65,4280,2006n,4287,15.04,0.16,-2.24,0.19,0.00,0.02,33.35,0.22,6,z
18747,UGC03432,J061613.6+570305,6,13.68,0.895,68,4996,1996bv,5007,15.28,0.14,0.93,0.49,0.19,0.02,33.49,0.21,3,
19622,NGC2258,J064746.2+742855,-2,,1.480,62,4060,1997e,3987,15.09,0.17,-1.85,0.27,0.10,0.02,33.21,0.27,4,z
19788,UGC03576,J065306.9+500203,3,,1.123,60,5948,1998ec,6026,16.15,0.15,-0.22,0.57,0.22,0.05,34.02,0.24,4,p
19975,PGC019975,J065934.3+593106,4,,0.819,57,3276,2001c,3328,14.25,0.25,0.87,0.90,0.07,0.07,32.63,0.29,6,"p,z"
20020,UGC03634,J070136.8+140807,1,,1.045,64,7891,2005na,8035,15.99,0.08,-0.75,0.14,-0.04,0.01,34.58,0.17,6,
20136,NGC2320,J070542.0+503452,-5,,1.170,90,5903,2000b,6026,15.68,0.16,-1.89,0.32,0.14,0.07,33.57,0.25,4,p
20364,UGC03725,J071141.6+495144,-3,,1.162,88,6167,2007au,6266,16.58,0.11,-3.50,0.26,0.31,0.03,33.96,0.19,6,
20513,UGC03770,J071529.3+232537,10,,0.946,90,6378,2000fa,6536,15.86,0.10,0.37,0.16,0.10,0.02,34.24,0.23,4,
20602,UGC03787,J071757.6+094122,-3,,0.936,69,,2003ch,7675,16.66,0.09,-1.62,0.30,0.04,0.02,34.95,0.18,6,
21020,UGC03845,J072642.7+470538,4,,1.145,48,3033,1997do,3148,14.29,0.21,-0.38,0.27,0.11,0.02,32.55,0.30,4,z
