"Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa"
pgc,objname,SNIa,Glon,Glat,Vhel,Vlg,Vcmb,Typ,OffN,OffE,t1,Filt,E_B-V,Ref,t0,et0,mu0,emu0,Delta,eDel,AV0,eAV0,RV,eRV,mV0,emV0,Notes
%7s,%8s,%6s,%6.2f,%6.2f,%5d,%5d,%5d,%6s,%7.1f,%6.1f,%6.1f,%5s,%6.3f,%14s,%8.2f,%4.2f,%6.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%4.2f,%4.2f,%6.3f,%5.3f,%7s
---,,,deg,deg,km/s,km/s,km/s,,arcsec,arcsec,days,,mag,,HJD,days,mag,mag,,,mag,mag,,,mag,mag,
"The Catalogue of Principal Galaxies (PGC) Number","Galaxy name","Supernova name","Galactic longitude","Galactic latitude","Host galaxy Heliocentric velocity","Host galaxy velocity in Local Group frame","Host galaxy velocity in CMB","Morphological type of host","Dec offset of SN from host nucleus; North positive","RA offset of SN from host nucleus; East positive","Epoch of first photometric observation relative to B max light; SN rest frame",Filters,"Foreground reddening; Schlegel et al. (1998)","References in Table 1 of Jha et al. (2007)","Epoch of maximum light in B","Error in epoch of maximum light in B","True distance modulus + 5 log H0/65","Error in distance modulus","Luminosity/light-curve shape parameter","Error in luminosity/light-curve shape parameter","Host galaxy extinction in V band","Error in host galaxy extinction in V band","Ratio total to selective absorption AV/E(B-V); standard RV=3.1","Error in ratio total to selective absorption if different from standard","Apparent magnitude in V of SNIa at maximum","Error in SNIa V apparent magnitude at maximum","Notes: HF=Hubble flow sample"
28357,N3021,1995al,192.17,50.83,1514,1465,1777,Sbc,-3.1,-14.7,-3.9,UBVRI,0.014,15,50028.96,0.44,32.714,0.081,-0.282,0.035,0.177,0.065,3.10,,13.209,0.081,
29953,C266031,2002bf,156.46,50.08,7254,7327,7418,Sb,4.0,0.6,-9.9,BVRI,0.011,42,52337.87,0.50,35.480,0.134,-0.111,0.065,0.254,0.131,3.10,,15.975,0.134,HF
30019,N3147,1997bq,136.29,39.48,2780,2943,2839,Sbc,-60.0,50.0,-10.3,UBVRI,0.024,21,50557.99,0.18,33.458,0.109,-0.095,0.063,0.513,0.095,3.03,0.35,13.953,0.109,HF
30083,N3190,2002bo,213.04,54.85,1293,1184,1609,Sa,-14.2,11.6,-13.4,UBVRI,0.025,"34, 43, 44",52356.89,0.14,31.945,0.105,-0.048,0.041,1.212,0.099,2.57,0.22,12.441,0.105,
30908,U05691,1991S,214.06,57.43,16369,16263,16688,Sb,17.3,4.4,10.8,BVRI,0.026,"8, 10",48348.17,1.18,37.274,0.131,-0.147,0.074,0.129,0.101,3.10,,17.770,0.131,HF
31428,N3294,1992G,184.62,59.84,1565,1541,1827,Sc,-10.0,27.0,3.0,VRI,0.020,9,48669.96,1.06,32.584,0.141,-0.198,0.047,0.499,0.136,3.07,0.37,13.079,0.141,
32192,N3368,1998bu,234.41,57.01,855,702,1204,Sab,55.0,4.0,-7.7,UBVRI,0.025,"24, 25",50952.40,0.23,30.283,0.117,-0.015,0.038,1.055,0.114,3.13,0.36,10.778,0.117,
32207,N3370,1994ae,225.34,59.66,1301,1175,1637,Sc,6.1,-29.7,-11.6,UBVRI,0.030,"10, 19",49684.65,0.15,32.563,0.065,-0.191,0.036,0.070,0.047,3.10,,13.058,0.065,
34695,N3627,1989B,241.92,64.42,703,567,1051,Sb,50.0,-15.0,-2.5,UBVRI,0.032,6,47564.32,0.59,30.040,0.144,0.035,0.087,1.330,0.144,2.86,0.29,10.536,0.144,
36028,E439-18,2001ba,285.39,28.03,8819,8537,9152,Sb,-22.0,19.0,-3.5,BVI,0.064,36,52034.18,0.54,35.889,0.075,-0.093,0.056,0.041,0.037,3.10,,16.385,0.075,HF
37520,N3982,1998aq,138.83,60.26,1184,1274,1354,Sb,7.0,-18.0,-10.1,UBVRI,0.014,19,50930.80,0.13,31.974,0.046,-0.063,0.036,0.024,0.019,3.10,,12.470,0.046,
37591,N3987,2001V,218.92,77.73,4539,4478,4846,Sb,28.0,52.0,-12.9,UBVRI,0.020,39,51973.28,0.16,34.187,0.065,-0.280,0.032,0.092,0.052,3.10,,14.683,0.065,HF
39920,E573-14,2000bh,293.74,40.33,6905,6666,7248,,-11.0,-8.0,5.4,BVRI,0.048,36,51636.31,1.47,35.309,0.131,-0.026,0.067,0.138,0.093,3.10,,15.805,0.131,HF
40455,N4374,1991bg,278.23,74.46,1060,955,1391,E,-57.0,2.0,0.9,BVRI,0.041,"11, 12, 13",48603.12,0.31,31.418,0.101,1.404,0.047,0.611,0.123,3.21,0.41,11.913,0.101,
41409,N4493,1994M,291.68,63.03,6943,6788,7289,E,-28.2,3.4,3.1,BVRI,0.023,15,49473.61,0.90,35.244,0.121,0.261,0.079,0.226,0.115,3.10,,15.739,0.121,HF
41438,N4495,1994S,187.37,85.14,4525,4501,4806,Sab,-6.9,-14.0,-4.5,BVRI,0.021,15,49518.28,0.50,34.356,0.077,-0.084,0.074,0.054,0.045,3.10,,14.852,0.077,HF
41517,N4501,1999cl,282.26,76.50,2281,2187,2605,Sb,23.0,-46.0,-6.5,UBVRI,0.038,"21, 31",51342.28,0.26,30.604,0.163,0.031,0.087,2.666,0.160,2.22,0.15,11.099,0.163,
41748,N4520,2000bk,295.29,55.23,7628,7444,7976,S0,-10.0,61.0,12.3,BVRI,0.025,32,51646.02,1.08,35.390,0.156,0.613,0.129,0.290,0.148,3.10,,15.885,0.156,HF
41772,N4526,1994D,290.15,70.14,592,469,928,S0,7.8,-9.0,-13.5,UBVRI,0.022,"10, 16, 17, 18",49432.47,0.10,31.187,0.067,0.142,0.035,0.109,0.047,3.10,,11.682,0.067,
41789,N4527,1991T,292.60,65.19,1736,1591,2078,Sbc,44.0,26.0,-11.1,UBVRI,0.022,"7, 10",48374.03,0.14,30.776,0.080,-0.220,0.031,0.340,0.070,3.10,,11.271,0.080,
41823,N4536,1981B,292.97,64.74,1808,1662,2151,Sbc,42.0,39.0,-0.2,UBVR,0.018,"3, 4",44670.95,0.73,31.104,0.140,-0.081,0.060,0.364,0.121,3.10,,11.599,0.140,
42732,I3690,1992P,295.62,73.10,7555,7449,7881,Sa,9.8,-4.3,-0.5,BVI,0.021,8,48719.20,0.86,35.585,0.124,-0.142,0.082,0.136,0.092,3.10,,16.081,0.124,HF
42741,N4639,1990N,294.36,75.98,978,885,1298,Sbc,-1.0,65.0,-10.4,UBVRI,0.026,7,48081.90,0.17,32.153,0.090,-0.242,0.046,0.174,0.084,3.10,,12.648,0.090,
