"Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF"
pgc,1PGC,J2000,Name,g-z,e_gz,m_sbf,e_msbf,DM,e_dm,dist,e_d,Altname
%7s,%7d,%16s,%7s,%5.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%4.1f,%3.1f,%11s
---,,,,mag,mag,mag,mag,mag,mag,Mpc,Mpc,
"The Catalogue of Principal Galaxies (PGC) Number","PGC ID of dominant group member","Right ascension and declination, epoch 2000","Primary name in publication","Mean g475-z850 color of analyzed region","Error in g475-z850 color","Mean SBF magnitude m_z","Error in SBF magnitude m_z","Distance modulus (m-M)","Error in distance modulus","Distance in Mpc","Error in distance","Alternative names"
41782,41220,J123406.8+124430,VCC1539,1.147,0.014,28.939,0.102,31.146,0.119,16.9,0.9,
41797,41220,J123411.5+120256,VCC1545,1.253,0.014,29.023,0.050,31.123,0.081,16.8,0.6,IC3509
41943,41220,J123530.4+121316,VCC1619,1.298,0.014,28.886,0.022,30.929,0.068,15.3,0.5,NGC4550
41959,41220,J123537.2+122255,VCC1627,1.326,0.130,28.962,0.049,30.964,0.216,15.6,1.5,
41963,41220,J123538.0+121550,VCC1630,1.417,0.014,29.212,0.028,31.046,0.074,16.2,0.5,NGC4551
41968,41220,J123539.8+123322,VCC1632,1.488,0.014,29.363,0.013,31.021,0.074,16.0,0.5,"NGC4552,M89"
42046,41220,J123624.8+102305,VCC1661,1.255,0.014,28.901,0.156,30.999,0.168,15.8,1.2,
42051,41220,J123627.0+112622,VCC1664,1.421,0.014,29.188,0.021,31.013,0.071,15.9,0.5,NGC4564
42096,41220,J123653.4+071448,VCC1692,1.421,0.014,29.343,0.020,31.168,0.071,17.1,0.6,NGC4570
42099,41220,J123654.8+123112,VCC1695,1.055,0.014,28.809,0.050,31.091,0.080,16.5,0.6,IC3586
42149,41220,J123730.5+093318,VCC1720,1.410,0.014,29.220,0.020,31.069,0.071,16.4,0.5,NGC4578
42205,41220,J123806.9+100457,VCC1743,1.073,0.014,28.964,0.071,31.232,0.094,17.6,0.8,IC3602
42309,41220,J123904.7+144349,VCC1779,0.904,0.014,28.420,0.055,30.841,0.135,14.7,0.9,IC3612
42426,41220,J124011.3+095346,VCC1826,1.117,0.014,28.826,0.060,31.058,0.086,16.3,0.6,IC3633
42430,41220,J124013.3+125230,VCC1828,1.183,0.014,28.970,0.059,31.144,0.086,16.9,0.7,IC3635
42442,41220,J124019.7+155607,VCC1833,1.139,0.014,28.844,0.041,31.058,0.074,16.3,0.6,
42521,41220,J124058.6+111104,VCC1861,1.260,0.014,28.941,0.045,31.033,0.078,16.1,0.6,IC3652
42550,41220,J124115.7+112314,VCC1871,1.356,0.014,28.998,0.039,30.951,0.076,15.5,0.5,IC3653
42574,41220,J124132.7+071853,VCC1883,1.274,0.014,29.017,0.023,31.092,0.068,16.5,0.5,NGC4612
42586,41220,J124139.4+121451,VCC1886,0.951,0.014,28.612,0.137,30.984,0.184,15.7,1.3,
42605,41220,J124152.0+092410,VCC1895,1.116,0.014,28.770,0.030,31.003,0.069,15.9,0.5,UGC7854
42628,41220,J124202.3+113852,VCC1903,1.458,0.014,29.122,0.014,30.860,0.072,14.9,0.5,"NGC4621,M59"
42638,41220,J124208.7+114516,VCC1910,1.331,0.014,29.033,0.034,31.027,0.073,16.0,0.5,IC809
42647,41220,J124210.7+074037,VCC1913,1.332,0.014,29.199,0.028,31.191,0.071,17.3,0.6,NGC4623
42728,41220,J124247.4+112633,VCC1938,1.305,0.014,29.156,0.024,31.189,0.069,17.3,0.5,NGC4638
42754,41220,J124258.0+104055,VCC1948,0.992,0.014,28.804,0.099,31.139,0.158,16.9,1.2,
42831,41220,J124340.1+113310,VCC1978,1.559,0.014,29.647,0.012,31.081,0.079,16.5,0.6,"NGC4649,M60"
42884,41220,J124412.0+125631,VCC1993,1.230,0.014,28.970,0.030,31.097,0.070,16.6,0.5,
42917,41220,J124432.0+111126,VCC2000,1.336,0.014,28.890,0.024,30.876,0.069,15.0,0.5,NGC4660
42991,41220,J124520.4+134134,VCC2019,1.154,0.014,28.970,0.045,31.171,0.077,17.1,0.6,IC3735
43154,41220,J124720.5+121000,VCC2050,1.112,0.014,28.762,0.056,30.998,0.084,15.8,0.6,IC3779
43276,41220,J124836.0-054802,NGC4697,1.375,0.007,28.573,0.019,30.491,0.065,12.5,0.4,NGC4697
43656,41220,J125217.6+111849,VCC2092,1.464,0.014,29.306,0.018,31.029,0.073,16.1,0.5,NGC4754
