"Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF"
pgc,Name,VCC,dist,eD,DM,edm,Vhel,1PGC,Nest,Gp,Ty,RA_DEJ,glon,glat,sgl,sgb,Ag,Area,Rad,uz,euz,gi,egi,gz,egz,Mbar,eMbar
%7s,%7s,%7s,%4.1f,%3.1f,%5.2f,%4.2f,%5d,%7d,%6d,%5s,%4.1f,%16s,%8.4f,%8.4f,%8.4f,%8.4f,%5.3f,%5.2f,%5.1f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.2f,%4.2f
---,,,Mpc,Mpc,mag,mag,km/s,,,,,hmsdms,deg,deg,deg,deg,mag,amin^2,asec,mag,mag,mag,mag,mag,mag,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Common name","Virgo Cluster Catalog ID","Distance (see Cantiello et al. for zero point)","Uncertainty in distance (excluding zero point)","Distance modulus","Error in distance modulus","Heliocentric velocity","PGC ID of dominant group member","Group ID in 2MASS group catalog of Tully (2015)","Group assignment by Cantiello et al.","Morphological type code from RC3","Right ascension, Declination epoch 2000","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude","Galactic obscuration at B band from RC3",Area,Radius,"u*-z color","Uncertainty in u*-z color","g-i color","Uncertainty in g-i color","g-z color","Uncertainty in g-z color","Surface brightnes fluctuation absolute magnitude Mbar","Uncertainty in Mbar"
40562,NGC4387,VCC0828,18.5,1.2,31.33,0.14,538,41220,100002,V,-4.8,J122541.7+124838,278.8456,74.4656,102.1165,-3.4246,0.143,1.20,33.3,2.639,0.012,1.049,0.006,1.261,0.012,30.50,0.08
40643,NGC4405,VCC0874,17.0,1.0,31.15,0.13,1730,41220,100002,V,0.3,J122607.1+161051,273.4436,77.5785,98.9198,-2.3390,0.106,0.39,32.4,2.205,0.011,0.829,0.005,1.030,0.011,29.86,0.07
40644,NGC4402,VCC0873,16.4,1.1,31.07,0.14,234,41220,100002,V,3.2,J122607.6+130647,278.7877,74.7857,101.8572,-3.2357,0.126,0.52,34.4,2.168,0.016,0.874,0.007,1.039,0.015,29.73,0.05
40653,NGC4406,VCC0881,18.8,0.9,31.37,0.10,-292,41220,100002,V,-4.8,J122611.8+125645,279.0833,74.6366,102.0225,-3.2682,0.127,2.82,46.3,2.777,0.001,1.058,0.001,1.335,0.001,30.69,0.10
40705,NGC4413,VCC0912,16.2,1.6,31.05,0.22,96,41220,100002,V,2.1,J122632.2+123638,279.8286,74.3546,102.3678,-3.2863,0.140,0.96,52.5,2.278,0.037,0.898,0.017,1.063,0.036,29.82,0.08
40727,NGC4415,VCC0929,15.7,0.9,30.97,0.12,908,41220,100002,V,-0.9,J122640.5+082608,284.3803,70.4103,106.3842,-4.4586,0.095,2.67,39.2,2.469,0.013,0.909,0.004,1.149,0.012,29.97,0.04
40756,NGC4417,VCC0944,16.3,1.4,31.06,0.19,816,41220,100002,V,-1.9,J122650.6+093503,283.4685,71.5206,105.2928,-4.0894,0.106,2.11,49.5,2.371,0.021,0.956,0.007,1.181,0.020,29.95,0.11
40772,NGC4419,VCC0958,18.1,1.5,31.29,0.18,-228,41220,100002,V,1.2,J122656.4+150251,276.4473,76.6426,100.0626,-2.4821,0.143,0.85,40.8,2.205,0.025,0.918,0.010,1.139,0.024,29.98,0.07
40785,NGC4421,VCC0966,16.4,1.0,31.07,0.13,1551,41220,100002,V,-0.5,J122702.5+152741,275.7886,77.0293,99.6735,-2.3376,0.106,1.78,38.7,0.000,0.000,0.947,0.003,1.229,0.005,30.09,0.06
40809,NGC4424,VCC0979,16.0,1.3,31.02,0.18,441,41220,100002,V,1.3,J122711.7+092514,283.8821,71.3899,105.4751,-4.0534,0.090,0.25,43.3,2.019,0.020,0.812,0.007,0.970,0.020,29.53,0.10
