pgc,objname,Modc,1PGC,Nest,al2000,de2000,V_hel,T,GrpID,AgB,VmI,e_VmI,N_VmI,Ibar,e_Ibar,N_Ibar,Mod01,e_Mod,Rav,ratio_in,ratio_out,Qmax,PD,NbarI,Sigma,Qual,icnt,NBG_ID,LH_ID,fil
%7s,%8s,%5.2f,%7d,%6d,%7.3f,%7.3f,%5d,%2d,%3d,%5.2f,%6.3f,%5.3f,%2d,%5.2f,%4.2f,%2d,%5.2f,%4.2f,%5.1f,%5.2f,%5.2f,%4.1f,%5.2f,%5.2f,%5.3f,%4s,%4d,%8s,%4d,%5.1f
---,,mag,,,h,deg,km/s,,,mag,mag,mag,,mag,mag,,mag,mag,arcsec,,,,,,,,,,,
"The Catalogue of Principal Galaxies (PGC) Number","Name used by Tonry et al. (Paper IV)","Distance modulus: adjusted Blakeslee et al. 2010, ApJ 694, 556","PGC ID of dominant group member","Nest ID from 2MASS group catalog of Tully(2015)","Right ascension in decimal degrees epoch 2000","Declination in decimal degrees epoch 2000","Heliocentric velocity","Hubble type","Group ID from Faber et al. 1989, ApJS, 69, 763","Galactic B absorption from Schlegel et al. 1998, ApJ, 500, 525","V-I color at radius contributing to SBF","Uncertainty in V-I color","Number contributing measures","I magnitude assoc w fluctuation power spectrum","Uncertainty in Ibar","Number of contributing measures","Distance modulus: original Tonry et al. 2001","Uncertainty in distance modulus","Mean annular radius (arcsec) contributing to SBF measurement","Ratio innermost/mean radii contributing to SBF","Ratio outermost/mean radii contributing to SBF","Quality Q=log[Ne(mbar)/PD^2; Ne(mbar)=# e- from obj w mag mbar; PD= psf_FWHM x Vcmb/1000","Product (psf_FWHM) x (Vcmb/1000)","Fluctuation star count at I band: Nbar=mbar-mT - difference fluct. and total mags = 2.5log(total lum/lum typical star",,Quality,"Internal group reference number","Nearby Galaxies Catalog (1988) group ID number","Lavaux-Hudson group ID from 2MASS++ catalog","Filament ID from V8k catalog"
42224,E322-038,32.57,43296,100003,189.576,-41.501,3195,-3,58,0.56,1.242,0.051,1,31.15,0.25,1,32.48,0.34,10.7,0.68,1.36,0.2,2.37,20.14,0.000,good,441,"23 -1  1",1107,23.0
42407,N4594,29.97,42407,100128,189.997,-11.623,1024,1,0,0.22,1.175,0.031,2,28.32,0.10,1,29.95,0.18,48.2,0.70,1.39,2.6,1.04,21.60,0.000,good,31,"11-14 10",,19.0
42447,N4600,29.38,42734,0,190.094,3.120,852,-2,0,0.12,1.141,0.017,1,27.55,0.20,1,29.33,0.22,30.3,0.73,1.45,1.7,1.66,16.05,0.000,good,2,"11  2  1",1,11.1
42550,I3653,30.86,41220,100002,190.316,11.387,557,0,56,0.14,1.139,0.017,1,29.05,0.44,1,30.84,0.45,11.2,0.49,1.96,2.8,1.28,16.53,0.000,good,1,"11 -1  1",1,11.0
42619,N4620,31.67,42741,150002,190.499,12.943,1125,-2,56,0.13,1.048,0.019,1,29.44,0.29,1,31.64,0.30,16.1,0.68,1.37,2.3,1.51,17.98,0.000,good,1,"11 -1  1",,11.0
42620,N4627,29.86,42637,0,190.499,32.575,542,-5,248,0.07,0.911,0.015,1,27.04,0.13,1,29.86,0.15,27.2,0.20,1.61,3.4,1.32,15.40,0.000,poor,211,"14 -6  6",1,14.0
42628,N4621,31.33,41220,100002,190.510,11.647,410,-5,56,0.14,1.172,0.018,2,29.67,0.18,1,31.31,0.20,48.4,0.20,3.16,2.5,1.62,21.35,2.375,good,1,"11 -1  1",,11.0
42662,N4616,33.04,43296,100003,190.571,-40.642,4586,-4,59,0.55,1.196,0.021,2,31.45,0.21,1,32.98,0.24,16.7,0.44,1.75,1.4,2.36,20.35,0.000,good,1324,"23 -1  1",1107,23.0
42728,N4638,31.69,41220,100002,190.699,11.443,1164,-3,56,0.11,1.149,0.013,2,29.93,0.25,1,31.68,0.26,25.8,0.68,1.36,3.0,1.23,19.82,2.111,good,1,"11 -1  1",1,11.0
42734,N4636,30.83,42734,160002,190.707,2.688,938,-5,152,0.12,1.233,0.012,2,29.46,0.11,1,30.83,0.13,42.8,0.22,3.57,3.3,1.29,21.73,0.000,good,2,"11  2  1",,11.1
42831,N4649,31.12,41220,100002,190.918,11.549,1117,-5,56,0.12,1.232,0.023,2,29.76,0.09,1,31.13,0.15,35.4,0.24,1.89,3.8,0.86,22.43,2.535,good,1,"11 -1  1",,11.0
42879,N4645,32.42,43296,100003,191.041,-41.750,2594,-4,58,0.64,1.188,0.025,2,30.82,0.13,1,32.38,0.18,17.0,0.31,2.48,1.9,2.13,20.64,0.000,good,441,"23 -1  1",1107,23.0
42917,N4660,30.57,41220,100002,191.135,11.191,1083,-5,56,0.14,1.154,0.015,1,28.82,0.17,1,30.54,0.19,25.8,0.43,1.70,2.3,1.67,18.59,2.281,good,1,"11 -1  1",1,11.0
43149,N4684,30.74,43149,100613,191.824,-2.727,1570,-1,151,0.12,1.100,0.015,1,28.68,0.17,1,30.65,0.19,30.3,0.36,1.45,0.4,2.68,18.38,0.000,good,36,"11  0 10",,19.0
43249,E322-088,32.84,43296,100003,192.091,-41.714,2637,-2,58,0.48,1.156,0.034,1,31.07,0.65,1,32.78,0.67,33.5,0.44,1.75,1.2,2.46,19.83,0.000,good,441,"23 -1  1",1107,23.0
43276,N4697,30.40,43276,100128,192.150,-5.801,1241,-5,151,0.13,1.157,0.010,3,28.64,0.12,1,30.35,0.14,41.1,0.27,2.14,1.7,2.19,20.80,0.000,good,28,"11-11 10",,19.0
43296,N4696,32.83,43296,100003,192.208,-41.311,2958,-4,58,0.49,1.203,0.014,3,31.25,0.15,2,32.75,0.17,56.7,0.26,2.07,0.7,2.53,22.41,0.000,good,441,"23 -1  1",,23.0
43367,E322-101,32.20,43296,100003,192.391,-41.056,2013,0,58,0.49,1.167,0.023,2,30.52,0.42,1,32.18,0.44,9.9,0.54,2.12,2.7,1.99,18.28,0.000,good,441,"23 -1  1",1107,23.1
43423,N4709,32.77,43296,100003,192.517,-41.382,4661,-5,59,0.51,1.199,0.011,4,31.22,0.22,1,32.74,0.23,26.3,0.18,2.95,2.4,1.80,21.88,0.000,good,1324,"23 -1  1",1107,23.0
43451,N4725,30.65,43451,130065,192.612,25.500,1206,2,0,0.05,1.209,0.023,1,29.14,0.32,1,30.61,0.34,26.6,0.66,1.32,2.1,1.82,21.76,0.000,good,206,"14 -2  1",,12.0
43495,N4736,28.49,43495,120491,192.723,41.119,308,2,0,0.08,1.071,0.017,1,26.49,0.15,2,28.58,0.18,123.0,0.57,1.43,6.2,0.52,19.33,0.000,good,212,"14 -7  7",,14.0
43516,N4733,30.85,41220,100002,192.779,10.912,928,-4,56,0.09,1.099,0.015,1,28.90,0.18,1,30.87,0.20,25.8,0.34,2.73,3.9,1.03,18.62,0.000,good,1,"11 -1  1",1,11.0
43594,N4742,30.99,42407,100128,192.950,-10.455,1270,-5,0,0.18,1.045,0.017,2,28.74,0.13,1,30.95,0.16,32.8,0.46,1.84,2.1,1.84,18.49,0.000,good,27,"11-10 10",1152,19.0
43656,N4754,31.18,41220,100002,193.074,11.314,1347,-3,56,0.14,1.178,0.011,2,29.51,0.12,1,31.13,0.14,33.2,0.33,2.64,1.7,1.82,20.19,2.155,good,1,"11 -1  1",,11.0
43671,N4753,31.93,43671,100613,193.095,-1.199,1239,0,0,0.15,1.087,0.013,2,29.83,0.17,1,31.86,0.19,66.9,0.66,1.31,1.1,1.67,21.40,0.000,good,10,"11  9  1",,19.0
43790,E323-034,32.76,43296,100003,193.358,-41.204,4335,-5,59,0.54,1.165,0.019,2,31.02,0.20,1,32.69,0.22,27.0,0.54,2.17,1.1,2.51,20.76,0.000,good,1324,"23 -1  1",1107,23.0
43845,N4767,32.65,43296,100003,193.472,-39.714,2995,-5,58,0.46,1.175,0.028,2,30.95,0.21,1,32.58,0.25,19.1,0.28,2.20,1.0,2.80,20.77,0.000,poor,441,"23 -1  1",1128,23.0
44087,N4802,30.34,44087,100128,193.957,-12.055,941,-2,0,0.21,1.004,0.018,1,27.92,0.13,1,30.31,0.16,28.1,0.68,1.36,2.2,1.63,17.68,0.000,good,31,"11-14 10",1152,19.0
44182,N4826,29.31,44182,109424,194.185,21.685,408,2,0,0.18,1.029,0.011,2,27.09,0.18,1,29.37,0.20,101.7,0.69,1.38,5.4,0.77,19.89,0.000,good,208,"14  3  3",,14.0
45283,N4946,33.43,45283,100607,196.372,-43.591,3079,-4,62,0.47,1.190,0.021,2,31.83,0.14,2,33.39,0.17,15.1,0.35,2.78,1.9,2.45,21.35,0.000,good,447,"23  0  2",1107,23.5
45898,N5011,33.18,46618,100047,198.216,-43.097,3121,-5,62,0.43,1.189,0.027,1,31.54,0.18,1,33.11,0.22,21.8,0.33,2.68,0.9,2.73,21.96,2.396,poor,447,"23  0  2",1107,23.5
46115,N5044,32.56,46247,100019,198.850,-16.386,2782,-5,63,0.30,1.210,0.027,1,31.00,0.25,1,32.47,0.28,27.9,0.30,2.40,0.3,2.18,21.22,0.000,good,69,"11-31 31",1293,11.5
46674,N5102,27.95,46674,112027,200.491,-36.630,468,-3,226,0.24,0.976,0.016,1,25.49,0.09,1,28.01,0.13,56.5,0.27,2.14,5.3,0.90,17.59,1.914,good,240,"14-15 15",,19.0
46957,N5128,28.09,46957,100350,201.371,-43.017,547,-2,226,0.50,1.078,0.016,1,26.05,0.11,1,28.12,0.14,185.4,0.65,1.30,4.4,1.07,21.81,0.000,good,240,"14-15 15",,19.0
47413,N5195,29.34,47404,103164,202.495,47.272,465,0,0,0.16,1.056,0.019,1,27.25,0.25,2,29.42,0.27,37.9,0.00,1.86,6.0,0.63,19.40,0.000,good,210,"14 -5  5",,14.0
47582,N5193,32.76,47582,100027,202.973,-33.235,3711,-5,64,0.24,1.164,0.034,1,30.99,0.25,2,32.66,0.29,19.7,0.27,2.97,0.0,2.91,20.59,0.000,poor,2552,,1280,210.0
48521,N5273,31.12,48521,112527,205.535,35.653,1064,-2,0,0.04,1.142,0.017,1,29.31,0.24,1,31.09,0.26,25.9,0.42,1.69,2.2,1.38,18.88,0.000,good,800,"43  1  1",,43.0
49044,N5322,32.54,49044,100202,207.315,60.191,1754,-5,254,0.06,1.183,0.011,2,30.88,0.22,1,32.47,0.23,29.1,0.38,3.02,1.0,1.74,22.05,2.369,good,742,"42 -8  3",,42.0
49353,N5338,30.55,49353,113028,208.360,5.208,806,-2,0,0.12,1.019,0.023,1,28.21,0.28,1,30.54,0.30,14.3,0.53,1.06,3.0,2.05,16.77,0.000,good,692,"41 -7  7",1161,41.0
50369,N5485,32.15,50191,100477,211.798,55.002,1904,-2,237,0.07,1.180,0.017,1,30.46,0.33,1,32.07,0.34,32.3,0.68,1.36,0.6,2.32,20.45,2.207,good,738,"42 -6  3",1198,42.0
51251,N5582,32.26,51251,112455,215.181,39.693,1362,-5,0,0.06,1.145,0.013,2,30.51,0.22,1,32.27,0.23,23.9,0.46,1.84,3.8,1.21,20.09,0.000,good,809,"43  0  0",,71.0
51270,N5574,31.95,51233,100502,215.235,3.239,1582,-3,0,0.14,1.054,0.011,3,29.71,0.61,1,31.89,0.62,17.3,0.64,1.27,1.2,2.18,18.40,0.000,good,674,"41 -3  1",1325,41.0
51275,N5576,32.05,51233,100502,215.268,3.271,1487,-5,68,0.14,1.098,0.010,4,30.05,0.12,1,32.03,0.14,24.0,0.30,2.44,2.7,1.71,20.76,2.274,good,674,"41 -3  1",1325,41.0
51431,N5611,32.09,51431,112464,216.022,33.049,2015,-2,0,0.05,1.111,0.017,2,30.09,0.45,1,32.01,0.46,15.3,0.72,1.44,0.8,2.37,18.38,0.000,good,795,"42  0  0",,71.0
51564,N5631,32.29,51564,111107,216.639,56.583,1979,-2,0,0.09,1.122,0.019,1,30.35,0.22,1,32.22,0.24,31.9,0.69,1.38,1.1,2.41,20.26,2.258,good,739,"42 -7  3",,42.0
51787,N5638,32.14,51787,101166,217.419,3.234,1676,-5,68,0.14,1.169,0.011,3,30.44,0.23,2,32.10,0.24,24.8,0.22,3.54,2.0,1.79,20.46,2.220,good,674,"41 -3  1",1324,41.0
52116,N5687,32.32,52116,111631,218.722,54.476,2116,-3,0,0.05,1.174,0.013,2,30.60,0.50,1,32.23,0.51,16.2,0.68,1.36,0.2,2.68,20.16,2.297,good,740,"42  7  3",,42.0
53201,N5770,31.44,53247,100519,223.313,3.960,1491,-2,0,0.17,1.120,0.017,1,29.52,0.28,1,31.39,0.29,32.3,0.68,1.36,1.7,1.97,18.76,0.000,good,670,"41 -2  1",1162,41.1
53630,N5812,32.23,53630,101828,225.232,-7.458,1894,-5,0,0.38,1.213,0.015,1,30.70,0.28,1,32.15,0.29,33.4,0.33,2.63,0.8,2.35,21.18,0.000,good,689,"41  0  1",0,41.0
53643,N5813,32.57,53932,100073,225.297,1.702,1972,-5,70,0.25,1.189,0.014,2,30.97,0.16,1,32.54,0.18,24.8,0.34,2.70,2.4,1.20,21.95,2.362,good,668,"41 -1  1",,41.1
53770,N5831,32.17,53932,100073,226.030,1.221,1630,-5,70,0.26,1.140,0.010,5,30.38,0.15,1,32.17,0.17,17.5,0.26,2.11,3.3,1.14,20.33,2.225,good,668,"41 -1  1",1040,41.1
53865,N5839,31.74,53932,100073,226.367,1.635,1225,-2,70,0.23,1.190,0.011,2,30.21,0.30,1,31.77,0.30,31.9,0.69,1.38,4.4,1.24,19.24,0.000,good,668,"41 -1  1",1040,41.1
53901,N5845,32.06,53932,100073,226.505,1.635,1450,-5,70,0.23,1.124,0.012,3,30.21,0.19,1,32.07,0.21,13.9,0.60,2.41,3.5,0.83,18.85,2.382,good,668,"41 -1  1",1040,41.1
53932,N5846,31.95,53932,100073,226.622,1.607,1630,-5,70,0.24,1.227,0.007,8,30.59,0.19,1,31.98,0.20,23.4,0.21,3.30,4.2,1.02,22.04,2.398,good,668,"41 -1  1",1040,41.1
53933,N5866,30.86,54470,101322,226.626,55.763,672,-1,0,0.06,1.121,0.009,4,29.05,0.10,3,30.93,0.12,38.4,0.57,2.29,5.8,0.87,20.38,0.000,good,811,"44 -1  1",,44.0
54119,N5869,32.08,53932,100073,227.455,0.470,2085,-2,70,0.23,1.161,0.014,5,30.28,1.22,1,31.98,1.22,8.2,0.67,1.34,-0.1,2.24,19.72,0.000,poor,668,"41 -1  1",1040,41.1
54625,N5898,32.33,54625,100325,229.555,-24.097,2120,-5,71,0.63,1.169,0.009,5,30.67,0.25,1,32.32,0.26,32.5,0.45,1.80,2.9,2.12,21.07,2.342,good,700,"41-11 11",1156,41.0
54646,N5903,32.71,54625,100325,229.651,-24.068,2565,-5,71,0.64,1.142,0.011,4,30.87,0.22,1,32.65,0.23,24.4,0.30,2.40,1.3,2.28,21.48,2.322,good,700,"41-11 11",1156,41.0
56475,N6017,32.43,56475,112733,239.314,5.998,1626,0,0,0.23,1.092,0.011,2,30.37,0.31,1,32.37,0.31,15.9,0.69,1.38,1.3,1.96,18.52,0.000,good,1239,"71  0  0",,71.0
61404,N6548,31.85,61404,111195,271.496,18.587,2209,-2,0,0.35,1.244,0.009,3,30.50,0.20,2,31.81,0.21,33.7,0.65,2.61,1.9,1.77,21.07,0.000,good,1257,"73  1  1",,73.0
62351,N6673,30.18,62351,201054,281.279,-62.297,1185,-4,78,0.46,1.189,0.019,1,28.61,0.20,1,30.18,0.23,29.4,0.65,1.30,3.2,1.38,18.12,0.000,good,347,"19 -1  1",,19.0
62395,N6702,33.60,62395,108125,281.741,45.707,4725,-5,0,0.47,1.149,0.006,8,31.76,0.23,1,33.51,0.24,13.4,0.36,2.90,0.4,2.71,21.13,0.000,poor,0,,0,513.5
62409,N6703,32.19,62409,110022,281.829,45.551,2461,-3,0,0.38,1.164,0.006,9,30.45,0.29,3,32.13,0.29,19.6,0.49,1.96,1.3,2.02,20.97,0.000,good,1316,"70  0  0",,73.2
62453,N6684,30.68,62836,201054,282.240,-65.174,946,-2,0,0.29,1.116,0.015,2,28.82,0.22,1,30.72,0.24,71.8,0.53,1.07,4.8,1.07,20.11,2.009,good,347,"19 -1  1",,19.0
62589,I4797,32.28,62589,200473,284.122,-54.306,2659,-4,279,0.34,1.184,0.018,1,30.66,0.18,1,32.24,0.20,23.2,0.45,1.81,2.1,1.96,20.63,0.000,good,1057,"61 -4  4",4678,61.0
63620,I4889,32.36,63620,202829,296.316,-54.344,2522,-5,77,0.23,1.137,0.016,2,30.54,0.13,1,32.33,0.16,19.8,0.37,2.95,2.2,1.77,20.71,0.000,good,1116,"61  0  0",,61.0
63972,N6869,32.59,63972,110404,300.150,66.217,2739,-2,0,0.79,1.164,0.007,5,30.86,0.21,1,32.53,0.22,19.5,0.49,1.96,1.4,2.34,20.75,0.000,good,1323,"70  0  0",,460.0
64044,N6851,32.87,64192,200099,300.890,-48.284,3058,-5,80,0.20,1.137,0.016,3,30.99,0.19,1,32.79,0.21,19.6,0.37,2.98,0.7,2.04,20.44,0.000,good,1049,"61 -1  1",4593,101.0
64102,I4943,32.54,64192,200099,301.618,-48.374,2902,-5,80,0.22,1.133,0.023,2,30.67,0.15,2,32.48,0.19,15.1,0.48,1.94,1.4,2.80,19.19,2.217,poor,1049,"61 -1  1",4593,61.0
64136,N6861,32.30,64192,200099,301.830,-48.370,2720,-3,80,0.23,1.221,0.019,2,30.82,0.35,1,32.24,0.36,31.5,0.46,1.86,1.2,2.47,21.22,0.000,good,1049,"61 -1  1",4593,61.0
64192,N6868,32.23,64192,200099,302.474,-48.379,2855,-5,80,0.24,1.230,0.009,4,30.76,0.24,1,32.14,0.25,25.9,0.28,2.26,0.3,2.77,21.45,2.442,poor,1049,"61 -1  1",4593,61.0
64725,N6909,32.79,64725,210851,306.911,-47.026,2779,-4,80,0.16,1.064,0.020,2,30.63,0.12,2,32.75,0.16,19.2,0.38,3.05,1.9,2.00,19.89,2.104,good,1054,"61  0  1",,61.0
66318,N7029,32.98,66318,200331,317.968,-49.283,2766,-5,83,0.16,1.138,0.032,1,31.13,0.46,1,32.92,0.49,31.5,0.46,1.86,1.4,2.27,20.56,2.297,good,1124,"61  0  0",,61.0
66463,N7041,32.05,66549,200331,319.136,-48.364,2036,-3,83,0.17,1.139,0.055,2,30.27,0.18,1,32.05,0.31,36.8,0.40,1.59,3.2,1.66,20.21,0.000,good,1072,"61-10 10",4692,61.0
66549,N7049,32.40,66549,200331,319.751,-48.564,2285,-2,83,0.24,1.174,0.033,1,30.75,0.15,1,32.38,0.22,55.4,0.53,2.11,2.8,1.58,21.76,0.000,good,1072,"61-10 10",,61.0
67146,N7097,32.54,67146,210445,325.056,-42.540,2542,-5,267,0.09,1.176,0.022,2,30.93,0.18,1,32.55,0.21,29.2,0.25,2.00,3.7,1.55,20.25,0.000,good,1064,"61 -6  6",,61.0
67557,N7144,31.96,67557,201316,328.179,-48.254,1939,-5,84,0.09,1.161,0.009,5,30.26,0.10,3,31.95,0.12,32.6,0.22,1.85,3.1,1.65,20.70,2.246,good,1075,"61-12 11",4691,61.0
67583,N7145,31.88,67557,201316,328.334,-47.882,1840,-5,84,0.09,1.133,0.016,2,30.04,0.19,1,31.85,0.21,24.8,0.29,2.36,2.5,1.76,20.12,2.124,good,1075,"61-12 11",4691,61.0
67878,N7173,32.50,67883,200117,330.515,-31.974,2497,-4,85,0.11,1.150,0.017,1,30.74,0.16,1,32.48,0.19,21.3,0.34,2.75,2.8,1.89,19.91,2.303,good,1152,"63 -1  1",4468,61.0
67882,N7168,32.77,67882,210368,330.530,-51.742,2760,-5,102,0.10,1.184,0.022,2,31.14,0.21,1,32.72,0.24,29.2,0.25,2.00,1.8,2.36,20.42,0.000,good,1068,"61  7  7",,61.5
67890,N7180,31.25,67890,212178,330.576,-20.547,1476,-2,265,0.14,1.109,0.009,4,29.34,0.25,2,31.26,0.26,22.8,0.42,1.68,3.7,1.35,17.84,1.973,good,1126,"61  0  0",4603,63.5
67919,N7185,31.57,67919,202978,330.734,-20.471,1776,-3,265,0.14,1.080,0.012,2,29.45,0.36,1,31.51,0.37,29.9,0.64,1.28,1.5,2.18,18.53,0.000,good,1126,"61  0  0",4603,63.5
68020,N7196,33.30,68020,201193,331.478,-50.120,2923,-5,102,0.09,1.211,0.022,2,31.80,0.28,1,33.27,0.30,31.0,0.24,1.89,2.5,1.86,21.68,0.000,good,1067,"61 -7  7",,61.5
68057,N7192,32.96,68057,200545,331.708,-64.316,2881,-4,0,0.15,1.174,0.032,1,31.26,0.28,1,32.89,0.32,27.2,0.27,2.15,1.0,2.60,21.18,0.000,good,1141,"62 -2  1",4453,62.0
68068,N7200,32.73,68020,201193,331.788,-49.996,2897,-4,102,0.08,1.183,0.018,3,31.12,0.31,1,32.71,0.32,15.6,0.47,1.88,2.6,2.03,19.24,0.000,good,1067,"61 -7  7",,61.5
68870,N7280,31.95,68870,211906,336.615,16.149,1844,-1,0,0.24,1.105,0.009,3,29.98,0.21,1,31.93,0.22,32.1,0.69,1.37,2.7,1.67,19.09,0.000,good,1170,"64 -3  3",,64.0
69094,N7302,31.95,69094,210899,338.100,-14.117,2703,-3,0,0.30,1.126,0.016,3,30.03,0.19,1,31.88,0.21,17.4,0.63,1.26,1.0,2.33,19.16,0.000,good,1162,"63  0  0",,61.0
69327,N7331,30.41,69327,202798,339.272,34.419,816,3,0,0.39,1.120,0.017,1,28.72,0.14,1,30.59,0.17,115.3,0.76,1.52,9.3,0.36,20.86,0.000,good,1200,"65 -1  1",,64.0
69342,N7332,31.68,69342,202169,339.352,23.798,1172,-2,0,0.16,1.107,0.008,4,29.88,0.19,3,31.81,0.20,27.4,0.60,1.60,7.5,0.61,20.08,0.000,good,1205,"65 -2  1",,64.0
70090,I1459,32.31,70090,200361,344.290,-36.460,1713,-5,231,0.07,1.194,0.018,1,30.79,0.26,1,32.33,0.28,54.0,0.28,2.23,4.1,1.49,22.22,0.000,good,1087,"61-17 16",,61.0
70110,I5269,32.07,70090,202633,344.425,-36.017,2151,-2,231,0.07,0.000,1.000,0,30.15,0.24,1,32.02,0.30,22.0,0.69,1.37,1.8,2.40,19.10,0.000,poor,1085,"61-15 15",4467,61.0
70258,N7457,30.43,70258,212259,345.250,30.144,812,-3,0,0.23,1.104,0.009,3,28.66,0.20,3,30.61,0.21,29.8,0.15,2.57,9.3,0.36,18.83,1.892,good,1204,"65  1  1",,64.0
70264,N7454,31.89,70264,200505,345.278,16.390,2022,-5,232,0.34,1.123,0.012,4,30.03,0.29,2,31.89,0.30,23.2,0.47,1.89,3.5,1.23,19.63,0.000,good,1167,"64 -1  1",4606,64.0
70676,N7507,31.97,70676,202707,348.032,-28.541,1549,-5,243,0.21,1.196,0.009,4,30.45,0.15,1,31.99,0.17,35.3,0.21,1.66,3.9,1.20,21.76,0.000,good,1092,"61  0 16",,63.0
70874,N7562,33.88,71121,200092,348.989,6.688,3540,-5,87,0.45,1.187,0.018,1,32.22,0.83,1,33.79,0.84,32.1,0.69,1.37,0.2,2.97,21.97,0.000,poor,2932,,4334,61.0
71121,N7619,33.66,71121,200092,350.061,8.206,3763,-5,87,0.35,1.229,0.009,3,32.23,0.31,2,33.62,0.31,25.2,0.36,3.48,2.1,2.46,22.91,0.000,good,2932,,4335,61.0
71730,I5328,32.94,71730,208692,353.321,-45.017,3081,-5,0,0.06,1.173,0.023,2,31.26,0.10,2,32.89,0.15,23.4,0.31,2.50,1.6,2.67,21.16,0.000,good,1297,"60  0  0",,717.0
72263,N7743,31.56,72263,202672,356.090,9.934,1710,-1,0,0.31,1.080,0.009,3,29.53,0.15,1,31.58,0.17,13.6,0.40,1.62,4.1,1.03,19.55,0.000,good,1174,"64 -6  6",,64.0
73126,N7796,33.57,73126,208120,359.749,-55.457,3321,-4,0,0.04,1.230,0.022,2,32.11,0.38,1,33.49,0.40,23.2,0.31,2.52,0.8,2.43,22.11,0.000,good,0,,,62.0
771919,N1201,31.57,771919,0,46.035,-26.068,1649,-2,0,0.07,1.178,0.009,3,29.91,0.29,1,31.53,0.30,44.3,0.68,1.36,1.9,2.04,20.49,0.000,good,850,"51 -5  4",,51.0
