ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST
pgc,Cat,Targ,Filt,Nstar,A_V,Color,Mtrgb,mraw,m_trgb,etrgb,modulus,dist,edist,Ncmd,avdist,eavdist
%7s,%11s,%21s,%11s,%4d,%5.3f,%4.2f,%5.2f,%6.3f,%6.3f,%5.3f,%6.3f,%4.2f,%5.3f,%1d,%4.2f,%5.2f
---,,,,,mag,mag,mag,mag,mag,mag,mag,Mpc,Mpc,,Mpc,Mpc
"The Catalogue of Principal Galaxies (PGC) Number","Catalog name","Target name (specific field in galaxy with lowest distance uncertainty)","Filters used for CMD","Number of stars within 1 mag of the TRGB","Foreground extinction in V band, A_V","Mean color of stars used to measure the TRGB","Predicted absolute magnitude of TRGB at the mean color","Apparent magnitude of TRGB in F814W uncorrected for extinction (raw)","Extinction corrected TRGB magnitude","Error in extinction corrected TRGB magnitude","TRGB distance modulus for chosen field in galaxy","TRGB distance; chosen field","Uncertainty in TRGB distance","Number of ANGST fields on galaxy","Weighted average distance over all fields","Weighted error in averaged distance"
42275,UA292,UGCA292,"F606W,F814W",112,0.048,0.98,-3.98,23.834,23.806,0.019,27.790,3.61,0.076,2,3.61,0.06
44491,GR8,GR8,"F475W,F814W",367,0.080,2.27,-4.03,22.607,22.561,0.010,26.588,2.08,0.022,1,2.08,0.02
47495,U8508,UGC8508,"F475W,F814W",738,0.047,2.23,-4.03,23.050,23.024,0.011,27.058,2.58,0.032,1,2.58,0.03
48332,DDO181,UGC8651,"F606W,F814W",637,0.019,1.03,-4.03,23.472,23.462,0.015,27.487,3.14,0.053,1,3.14,0.05
49158,DDO183,UGC8760,"F606W,F814W",604,0.051,1.05,-4.04,23.527,23.498,0.039,27.542,3.22,0.135,1,3.22,0.14
49452,U8833,UGC8833,"F606W,F814W",522,0.037,1.04,-4.04,23.431,23.410,0.020,27.446,3.08,0.067,1,3.08,0.07
50961,DDO187,UGC9128,"F606W,F814W",459,0.071,1.03,-4.03,22.732,22.692,0.028,26.717,2.21,0.068,1,2.21,0.07
51472,DDO190,DDO190,"F606W,F814W",1267,0.038,1.06,-4.05,23.205,23.184,0.014,27.230,2.79,0.042,1,2.79,0.04
71431,UA438,E407-G18,"F606W,F814W",715,0.045,1.05,-4.01,22.708,22.683,0.038,26.690,2.18,0.091,1,2.18,0.09
95597,KKH37,KKH37,"F475W,F814W",748,0.231,2.27,-4.03,23.671,23.540,0.037,27.566,3.26,0.130,1,3.26,0.13
166101,KK77,M81F12D1,"F606W,F814W",1061,0.442,1.16,-4.02,23.982,23.730,0.013,27.749,3.55,0.051,1,3.55,0.05
166185,KK230,KK230,"F606W,F814W",47,0.043,1.00,-4.00,22.492,22.467,0.026,26.472,1.97,0.055,1,1.97,0.06
2801026,KKR25,KKR25,"F606W,F814W",80,0.027,1.00,-3.96,22.479,22.464,0.022,26.428,1.93,0.047,1,1.93,0.05
2807150,KKH86,KKH71,"F606W,F814W",108,0.083,1.01,-3.98,23.134,23.087,0.068,27.063,2.59,0.189,1,2.59,0.19
2807157,KKH98,KKH98,"F475W,F814W",294,0.385,2.23,-4.04,23.207,22.988,0.012,27.023,2.54,0.033,1,2.54,0.03
3097727,Sc22,SCL-DE1,"F606W,F814W",124,0.046,1.02,-4.02,24.116,24.090,0.023,28.110,4.19,0.105,1,4.19,0.11
3097828,FM1,M81F6D1,"F606W,F814W",636,0.241,1.16,-4.02,23.855,23.718,0.010,27.737,3.53,0.039,1,3.53,0.04
4689195,IKN,IKN,"F606W,F814W",1926,0.181,1.19,-4.02,23.869,23.766,0.019,27.786,3.61,0.075,1,3.61,0.08
4689216,HS117,HS117,"F606W,F814W",556,0.359,1.08,-4.05,24.066,23.862,0.017,27.908,3.82,0.070,1,3.82,0.07
9003502,F8D1,GAL-094447+672619_302,"F555W,F814W",1355,0.328,1.68,-3.99,24.018,23.831,0.020,27.817,3.66,0.078,1,3.66,0.08
