# SGA_ID DESI_NAME RA Dec z_desi BA G_R G_R_err V_0p4R26  V_0p4R26_err R_MAG_SB26_CORR R_MAG_SB26_ERR_CORR LOGDIST_AVG LOGDIST_AVG_ERR MAIN 
53958 DESIXJ01071711-0417016 16.821309 -4.283775 0.0623 0.5270 0.3874 0.0316 103 11 16.8362 0.1138 0.0136 0.0628 0
54615 DESIXJ01003433-0301001 15.143051 -3.016693 0.0443 0.8590 0.3805 0.0146 86 16 15.8779 0.0332 0.1684 0.0829 0
56757 DESIXJ12592536+2325407 194.855671 23.427961 0.0744 0.6924 0.9727 0.0910 177 19 15.8595 0.0803 -0.0826 0.0623 0
56885 DESIXJ03091572-0915435 47.315483 -9.262093 0.0307 0.8244 0.5231 0.0073 12 11 16.0406 0.0447 1.1157 0.3088 0
57984 DESIXJ10593321+7401003 164.888363 74.016744 0.0317 0.8395 0.6341 0.0177 130 19 14.9963 0.0461 -0.0259 0.0694 0
58584 DESIXJ17380770+4659533 264.532071 46.998144 0.0654 0.6977 1.0048 0.0106 297 36 14.5336 0.0714 -0.1249 0.0635 1
59186 DESIXJ22471895+0609588 341.828948 6.166338 0.0826 0.8474 0.4047 0.0222 111 18 16.0661 0.0423 0.2551 0.0756 0
59323 DESIXJ00074423+0823371 1.934280 8.393630 0.0357 0.8974 0.7604 0.0093 73 22 14.8185 0.0303 0.3987 0.1316 0
59572 DESIXJ07342532+3125199 113.605514 31.422200 0.0158 0.4912 0.5649 0.0087 83 5 14.5837 0.1138 0.0325 0.0543 0
60145 DESIXJ14364577+5127351 219.190693 51.459755 0.0079 0.8038 0.4335 0.0062 47 16 14.8916 0.0515 -0.0376 0.1550 0
61623 DESIXJ02541428-0604258 43.559501 -6.073835 0.1489 0.2663 0.7757 0.0603 208 14 16.8939 0.1677 0.0101 0.0560 0
61768 DESIXJ23195165+0025234 349.965218 0.423153 0.0341 0.5198 0.5347 0.0280 105 4 15.2649 0.1121 0.0597 0.0504 1
62416 DESIXJ10021671+2442399 150.569605 24.711092 0.0046 0.2247 0.7705 0.0208 171 12 10.8083 0.1751 -0.0969 0.0568 0
63092 DESIXJ14161558-0127527 214.064897 -1.464640 0.0363 0.5430 0.1442 0.0530 145 11 16.0740 0.1085 -0.2329 0.0558 0
64602 DESIXJ07012015+5630403 105.333946 56.511205 0.0554 0.6791 0.9343 0.0115 201 22 14.6474 0.0774 0.0046 0.0618 0
65921 DESIXJ21443087-0617367 326.128630 -6.293535 0.0900 0.8922 0.5875 0.0184 99 17 16.1925 0.0292 0.3345 0.0791 1
66855 DESIXJ12290646+1400176 187.276905 14.004885 -0.0014 0.7714 0.6585 0.0050 85 33 15.8168 0.0507 -1.3043 0.1767 0
69285 DESIXJ23390804+1001544 354.783491 10.031782 0.0168 0.8596 0.5522 0.0068 48 16 15.8585 0.0314 0.0732 0.1535 0
69988 DESIXJ14031447+1600200 210.810292 16.005551 0.0083 0.7483 0.4240 0.0054 51 20 15.5399 0.0558 -0.1313 0.1864 0
70992 DESIXJ02250760+1508358 36.281680 15.143270 0.0273 0.4010 0.7757 0.0274 169 4 15.1145 0.1338 -0.2784 0.0502 0
73255 DESIXJ02095523+2956595 32.480132 29.949850 0.0700 0.6717 0.6816 0.0206 67 13 15.6342 0.0917 0.5656 0.0883 0
74140 DESIXJ09375556+1109216 144.481505 11.155992 0.0655 0.4471 0.6745 0.0178 157 11 15.6294 0.1241 0.0466 0.0548 0
74627 DESIXJ01050429-0211233 16.267888 -2.189792 0.0666 0.6032 0.7778 0.0585 114 12 15.9395 0.0976 0.1613 0.0617 0
74657 DESIXJ09291579+6240529 142.315772 62.681358 0.0257 0.7664 0.3794 0.0286 202 7 14.1016 0.0609 -0.1709 0.0490 0
78130 DESIXJ23551621-0159553 358.817557 -1.998687 0.0249 0.5937 0.5315 0.0045 137 4 14.5901 0.0922 -0.1049 0.0496 1
78385 DESIXJ07033918+5105585 105.913232 51.099587 0.0035 0.6385 0.3503 0.0210 14 11 15.2179 0.0859 0.2582 0.2979 0
78611 DESIXJ17414057+3238524 265.419060 32.647891 0.0445 0.6407 0.6844 0.0238 93 12 15.0488 0.0848 0.2959 0.0674 1
78623 DESIXJ10455740-0400131 161.489176 -4.003637 0.0702 0.4578 0.4690 0.0292 81 12 16.0700 0.1236 0.3884 0.0718 0
78995 DESIXJ15344603+0617524 233.691812 6.297893 0.0214 0.4557 0.5397 0.1378 123 10 14.1942 0.1619 -0.0051 0.0581 0
82374 DESIXJ03465135-0931471 56.713960 -9.529749 0.0333 0.5558 0.5783 0.0224 174 11 13.9031 0.1024 0.0407 0.0535 1
84380 DESIXJ01323992+1109202 23.166322 11.155618 0.0669 0.3048 0.4495 0.0647 100 3 15.5190 0.1614 0.3368 0.0522 0
84966 DESIXJ22184845-0503218 334.701889 -5.056066 0.0255 0.8532 0.4305 0.0162 108 18 15.9836 0.0374 -0.2277 0.0777 0
87757 DESIXJ02562274+0609189 44.094748 6.155238 0.0259 0.3112 0.8388 0.0133 144 11 13.6162 0.1553 0.0963 0.0572 0
88829 DESIXJ12423140+1211385 190.630854 12.194020 0.0705 0.8203 0.3895 0.0212 61 17 15.9515 0.0428 0.5724 0.1201 0
90188 DESIXJ11462346+1944428 176.597763 19.745211 0.0208 0.4714 0.7192 0.0173 43 25 16.0738 0.1211 0.2507 0.2564 1
91158 DESIXJ15042245+1002346 226.093551 10.042941 0.0378 0.9871 0.4123 0.0082 143 70 16.5461 0.0230 -0.3075 0.2260 0
91370 DESIXJ10145297+1234413 153.720714 12.578130 0.0413 0.8169 0.4051 0.0298 45 7 16.0756 0.0482 0.4918 0.0765 0
91532 DESIXJ15332284+3329334 233.345170 33.492619 0.0767 0.5187 0.9308 0.0341 252 17 15.6889 0.1156 -0.1772 0.0543 0
92813 DESIXJ12311976+5732160 187.832342 57.537789 0.0897 0.4678 0.6375 0.0498 182 12 16.1004 0.1252 0.0156 0.0549 1
93998 DESIXJ13121578+5559117 198.065747 55.986581 0.0322 0.7770 0.4100 0.0163 70 15 16.0507 0.0599 0.1316 0.0926 1
94121 DESIXJ10185404+4618196 154.725149 46.305447 0.0304 0.7035 0.2880 0.0270 21 12 17.1456 0.0813 0.5945 0.2675 0
95688 DESIXJ07480687+3242519 117.028638 32.714419 0.0798 0.5036 0.6160 0.0382 136 11 16.3054 0.1198 0.0803 0.0568 0
96467 DESIXJ13392243+3114569 204.843456 31.249150 0.0023 0.6320 0.2582 0.0111 11 8 15.8803 0.0833 0.2296 0.2964 0
96707 DESIXJ21125256-0021584 318.218985 -0.366214 0.0320 0.4268 0.2798 0.0454 49 11 17.4502 0.1331 0.0576 0.1006 0
97206 DESIXJ16160307+3829336 244.012776 38.492674 0.0347 0.7701 0.3716 0.0142 46 23 17.1277 0.0587 0.1818 0.2265 0
97396 DESIXJ14545589-0104025 223.732893 -1.067349 0.0836 0.2349 1.0051 0.0497 226 12 15.5888 0.1743 -0.0477 0.0544 1
99260 DESIXJ16282757+4109396 247.114856 41.160987 0.0318 0.7651 0.8184 0.0243 38 41 14.1454 0.0648 0.8616 0.3296 0
99512 DESIXJ15160742+2534424 229.030932 25.578436 0.0456 0.8561 0.4744 0.0243 115 20 16.1470 0.0398 -0.0312 0.0803 0
100120 DESIXJ16303950+4114283 247.664580 41.241186 0.1345 0.7316 1.0768 0.0384 171 51 16.6062 0.0730 0.1208 0.1294 0
101156 DESIXJ16174024+1752495 244.417680 17.880429 0.0851 0.3756 0.9386 0.0332 38 18 15.8759 0.1406 0.9340 0.2175 0
101939 DESIXJ15041866+0245532 226.077754 2.764773 0.0351 0.3316 1.4724 0.0875 19 17 16.0411 0.1533 0.8751 0.3196 0
101955 DESIXJ14131309+0127213 213.304537 1.455913 0.0774 0.2677 0.7228 0.0291 200 11 16.1312 0.1645 -0.1106 0.0546 0
102233 DESIXJ15490648+5302566 237.276994 53.049049 0.0297 0.8510 0.3854 0.0101 60 21 16.6907 0.0391 0.0280 0.1642 0
102319 DESIXJ08140015+3404322 123.500622 34.075605 0.0903 0.5891 0.5400 0.0320 68 27 16.2521 0.0955 0.5584 0.1862 0
103331 DESIXJ14061082-0227322 211.545101 -2.458936 0.0351 0.5037 0.4193 0.0343 72 4 16.5217 0.1133 0.0712 0.0528 1
107464 DESIXJ12362820+5118130 189.117505 51.303608 0.1430 0.5514 0.5734 0.0414 213 11 16.4204 0.1127 0.0715 0.0523 1
107503 DESIXJ09102578+2310286 137.607412 23.174609 0.0365 0.5896 0.6065 0.0070 97 7 16.8840 0.0909 -0.1625 0.0553 1
107697 DESIXJ08331675+1533226 128.319788 15.556290 0.0637 0.2644 0.5872 0.0505 155 12 16.0089 0.1705 -0.0219 0.0575 0
108427 DESIXJ15331009+2753079 233.292040 27.885527 0.0338 0.5242 0.4981 0.0374 67 12 16.2643 0.1093 0.1395 0.0832 0
108546 DESIXJ14064665+1023152 211.694362 10.387547 0.0225 0.6798 0.3143 0.0162 34 15 16.3222 0.0734 0.3700 0.2108 0
108552 DESIXJ15063892+4456239 226.662156 44.939983 0.0644 0.6199 0.7892 0.0246 199 18 14.8045 0.0891 0.0344 0.0576 0
109011 DESIXJ01463375-0847457 26.640611 -8.796028 0.1496 0.5479 0.6046 0.0317 13 10 16.3362 0.1077 1.7354 0.2948 0
109564 DESIXJ09171154+3955209 139.298102 39.922479 0.0279 0.6097 0.3872 0.0144 19 5 16.0763 0.0921 0.8145 0.1331 0
