# SGA_ID DESI_NAME RA Dec z_desi BA G_R G_R_err V_0p4R26  V_0p4R26_err R_MAG_SB26_CORR R_MAG_SB26_ERR_CORR
195094 DESIXJ15444215+1121598 236.175640 11.366617 0.0474 0.7504 0.5393 0.0143 211 4 16.5004 0.0709
195428 DESIXJ08124504+1906352 123.187676 19.109778 0.0285 0.7210 0.4557 0.0143 54 5 16.2198 0.0791
195743 DESIXJ14055878+1710157 211.494918 17.171021 0.0208 0.8063 0.5665 0.0313 47 7 15.4498 0.0580
197368 DESIXJ15131655+3408504 228.318945 34.147341 0.0077 0.6378 0.4210 0.0102 63 2 15.0530 0.1034
197539 DESIXJ01004660+1448003 15.194183 14.800073 0.0551 0.4132 0.6505 0.0391 175 1 15.5468 0.1626
197981 DESIXJ07351930+4205367 113.830437 42.093530 0.0104 0.6329 0.2515 0.0092 36 4 16.9798 0.1052
198007 DESIXJ23155923+0637452 348.996801 6.629223 0.0115 0.9153 0.8411 0.0044 90 13 14.8512 0.0370
200525 DESIXJ10050468+0517333 151.269518 5.292572 0.0443 0.3770 0.5054 0.0243 50 2 16.1382 0.1714
201293 DESIXJ08182402+2557000 124.600104 25.949990 0.0763 0.7801 0.5430 0.0234 78 4 16.1750 0.0652
203307 DESIXJ09550901+1331592 148.787547 13.533109 0.0251 0.2128 0.4966 0.0266 89 2 15.7951 0.2158
204805 DESIXJ12425779+1217131 190.740795 12.286962 0.0056 0.5992 0.7136 0.0016 71 13 12.8073 0.1094
204844 DESIXJ07515031+2456555 117.959616 24.948746 0.0213 0.5837 0.5403 0.0241 96 0 15.3237 0.1154
207989 DESIXJ13592678+5958189 209.861595 59.971911 0.0678 0.7214 0.4041 0.0230 123 10 16.8925 0.0805
209700 DESIXJ11485868+1148247 177.244493 11.806868 0.0691 0.4880 0.9345 0.0197 303 8 14.8197 0.1417
216273 DESIXJ07581246+3523203 119.551918 35.388967 0.0768 0.6306 0.7618 0.0273 220 16 15.4321 0.1086
216752 DESIXJ08341102+5711031 128.545935 57.184196 0.0420 0.8186 0.5187 0.0076 157 1 15.1595 0.0537
217390 DESIXJ11510365+0741370 177.765222 7.693603 0.0091 0.5785 0.2771 0.0268 17 5 16.6352 0.1174
218203 DESIXJ01211306+0011126 20.304436 0.186837 0.0128 0.4211 0.3514 0.0186 39 9 17.2187 0.1607
223860 DESIXJ21133265-0122480 318.386042 -1.380009 0.0457 0.7960 0.8057 0.0111 83 13 13.8296 0.0622
224412 DESIXJ10481392+1838008 162.057994 18.633556 0.0205 0.8686 0.4308 0.0227 58 0 15.4718 0.0393
224940 DESIXJ10250661+1709410 156.277545 17.161390 0.0025 0.6131 0.3713 0.0021 33 1 11.3474 0.1056
225034 DESIXJ12372696+5411043 189.362327 54.184522 0.1099 0.4971 0.8921 0.0195 284 14 15.8843 0.1416
227348 DESIXJ10101763-0041430 152.573452 -0.695269 0.0661 0.3789 1.1547 0.0456 187 4 15.9284 0.1730
229588 DESIXJ07592433+2358495 119.851376 23.980414 0.0926 0.2337 0.0557 0.0900 27 0 18.6255 0.2198
229748 DESIXJ15182110+1258145 229.587914 12.970705 0.0279 0.6955 0.4705 0.0175 101 1 14.5025 0.0850
229976 DESIXJ13593336+1555144 209.889020 15.920659 0.0902 0.3802 0.7445 0.0959 318 1 15.7419 0.1900
231696 DESIXJ10424287+3427030 160.678625 34.450837 0.0020 0.5777 0.3421 0.0012 64 15 12.6898 0.1170
232285 DESIXJ00380295+0257557 9.512284 2.965484 0.0168 0.6060 0.6635 0.0100 72 15 15.2113 0.1092
233389 DESIXJ17330240+6816483 263.260015 68.280088 0.0278 0.6372 0.5201 0.0161 76 6 14.9460 0.1022
234197 DESIXJ22134558+2029045 333.439916 20.484577 0.0563 0.6326 0.6034 0.0213 149 6 15.6105 0.1036
234662 DESIXJ20470331+0026124 311.763774 0.436774 0.0126 0.6398 0.7219 0.0093 23 22 14.2445 0.1000
235486 DESIXJ21494869-0653450 327.452889 -6.895843 0.1362 0.6967 0.7393 0.0236 331 8 16.1668 0.0895
242229 DESIXJ03102124-1119184 47.588511 -11.321777 0.0840 0.3242 0.8427 0.0356 190 3 16.6247 0.1881
242463 DESIXJ23340661-0241066 353.527527 -2.685157 0.1138 0.6550 0.9456 0.0405 141 19 16.6620 0.1012
