# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
493017 DESIXJ14315623+3338326 217.984297 33.642400 0.0337 228 1 -1031 375
495246 DESIXJ06224238+6511271 95.676599 65.190868 0.0215 92 3 970 307
495887 DESIXJ09473682-0214071 146.903411 -2.235295 0.0312 112 1 3613 368
508928 DESIXJ07272895+3322109 111.870620 33.369703 0.1240 363 24 -12058 3098
513449 DESIXJ10445629+0044284 161.234536 0.741233 0.0054 24 0 -197 72
513880 DESIXJ17020839+1322021 255.534979 13.367242 0.0833 117 13 19295 3709
518018 DESIXJ12135517-0300254 183.479888 -3.007052 0.0378 21 1 18322 911
523844 DESIXJ11534673+0111362 178.444688 1.193400 0.0705 44 1 39828 789
525223 DESIXJ10581639-0733470 164.568310 -7.563052 0.0619 118 2 3085 565
530581 DESIXJ08371401-0016296 129.308365 -0.274876 0.0377 74 1 6531 429
535043 DESIXJ13561814-0132210 209.075570 -1.539173 0.0252 63 2 3481 445
541540 DESIXJ08353440+0340187 128.893326 3.671869 0.0131 50 9 -1354 1010
543157 DESIXJ13480748+0542300 207.031148 5.708344 0.0501 22 1 25019 1462
554037 DESIXJ23193048+0022180 349.876989 0.371678 0.0314 69 2 3567 633
559101 DESIXJ14434790-0144196 220.949603 -1.738789 0.1072 140 2 7613 1261
561775 DESIXJ13152973-0036259 198.873857 -0.607202 0.0386 95 1 -806 415
567824 DESIXJ12255306+0327565 186.471071 3.465707 0.0258 62 1 2294 241
570046 DESIXJ12082732+0057046 182.113847 0.951269 0.1591 198 18 11612 5760
573881 DESIXJ07423612+2815408 115.650492 28.261329 0.0158 13 2 8365 1381
576058 DESIXJ13083740+5404283 197.155832 54.074528 0.0082 50 2 1261 195
576406 DESIXJ10342678+4951364 158.611591 49.860122 0.0452 86 3 -470 722
576508 DESIXJ16130440+3339578 243.268352 33.666059 0.0328 105 10 677 1193
576844 DESIXJ15465367+0605423 236.723612 6.095092 0.0342 50 3 2414 805
578333 DESIXJ13464633+4806058 206.693022 48.101603 0.0570 69 1 9600 667
579732 DESIXJ08422812-0017008 130.617184 -0.283563 0.0513 68 16 7423 5194
580391 DESIXJ09463579-0550426 146.649131 -5.845172 0.0431 114 1 2304 298
580774 DESIXJ10562128+0145543 164.088679 1.765093 0.0388 117 1 -182 233
614018 DESIXJ11160571-0645493 169.023775 -6.763691 0.0246 81 6 -3153 709
619169 DESIXJ12225271+3349436 185.719613 33.828768 0.0019 18 10 -693 518
624534 DESIXJ08323495-0025265 128.145624 -0.424025 0.0401 80 1 5471 594
