# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
201663 DESIXJ16192140+3708021 244.839179 37.133925 0.0286 65 16 -68 3051
202115 DESIXJ15103430+3136188 227.642931 31.605224 0.0306 27 1 10299 776
202962 DESIXJ09423568+0129570 145.648656 1.499166 0.0467 91 4 6053 932
204059 DESIXJ12131234+5431225 183.301412 54.522905 0.0499 113 3 3401 617
205178 DESIXJ08110476+0617549 122.769827 6.298595 0.0145 96 1 -644 103
205349 DESIXJ12511461+0520344 192.810890 5.342889 0.0251 48 1 5317 342
206386 DESIXJ22461879+0106224 341.578305 1.106227 0.0582 247 2 -13438 343
207148 DESIXJ13120708+3404294 198.029494 34.074820 0.0336 17 5 17488 4868
207228 DESIXJ08014871+2608467 120.452948 26.146309 0.0266 117 1 230 205
208554 DESIXJ10380983-0013146 159.540954 -0.220718 0.0946 164 1 10799 582
208890 DESIXJ13500655+0716188 207.527289 7.271899 0.0528 19 2 29822 3106
212294 DESIXJ14595735+0144090 224.988959 1.735829 0.0532 88 5 811 1348
213390 DESIXJ22464711-0850050 341.696281 -8.834734 0.0627 156 2 141 408
215213 DESIXJ21252779+0452382 321.365810 4.877270 0.0850 38 1 56391 1387
216195 DESIXJ14114994-0028494 212.958078 -0.480398 0.0976 156 1 11533 536
218205 DESIXJ07324798+3759334 113.199897 37.992617 0.0357 62 2 7515 520
218706 DESIXJ13095110+0318334 197.462898 3.309292 0.1107 336 5 -10131 849
220474 DESIXJ10203116+0448549 155.129818 4.815254 0.0627 11 2 64132 5257
220485 DESIXJ12235153+5602588 185.964701 56.049668 0.0453 66 1 13074 508
221587 DESIXJ20524150-0331243 313.172920 -3.523405 0.0574 209 2 546 396
223700 DESIXJ20444754+0234521 311.198080 2.581153 0.0272 177 5 -13 354
230544 DESIXJ11234598-0442238 170.941576 -4.706612 0.0092 45 6 1796 457
232529 DESIXJ02235067-0437030 35.961138 -4.617495 0.0076 29 4 1030 429
232776 DESIXJ12151145-0043324 183.797726 -0.725664 0.0477 10 1 35065 2381
233377 DESIXJ10123542-0214211 153.147580 -2.239204 0.0200 50 4 1157 630
242577 DESIXJ22252975+2538239 336.373978 25.639977 0.0533 109 5 11099 1060
243701 DESIXJ06505707+6527272 102.737802 65.457560 0.0380 202 2 -6053 283
244408 DESIXJ02151179-0128327 33.799133 -1.475743 0.0366 95 5 307 833
245100 DESIXJ14111736+0121094 212.822317 1.352610 0.0256 73 3 -996 430
245760 DESIXJ11355776-0713196 173.990668 -7.222112 0.0764 145 4 3134 879
247282 DESIXJ10324634-0323411 158.193071 -3.394743 0.0379 175 2 -8923 238
253025 DESIXJ09390979-0323110 144.790796 -3.386380 0.0829 227 2 -5724 506
254659 DESIXJ08373433+0145575 129.393043 1.765959 0.0738 214 2 5643 511
254679 DESIXJ12441698-0507459 191.070769 -5.129409 0.0555 184 2 611 387
257812 DESIXJ09130379-0736472 138.265772 -7.613108 0.0461 102 3 9369 549
258297 DESIXJ11265895-0439435 171.745617 -4.662081 0.0533 130 2 4993 446
260953 DESIXJ09124986-0720320 138.207753 -7.342217 0.0306 105 7 1955 864
261113 DESIXJ12172321-0105377 184.346716 -1.093807 0.0206 73 7 -2883 855
262623 DESIXJ14141315+5316137 213.554777 53.270463 0.0661 106 3 181 873
265348 DESIXJ06470128+6456003 101.755326 64.933405 0.0184 49 4 3205 650
270521 DESIXJ16021267+2028086 240.552800 20.469055 0.0526 141 3 1650 523
271345 DESIXJ14505803-0052538 222.741802 -0.881599 0.0269 91 1 -264 202
274134 DESIXJ12582056+2637456 194.585669 26.629335 0.0883 245 15 -6899 2093
275742 DESIXJ15183114+3223342 229.629765 32.392829 0.0612 287 3 -774 429
276673 DESIXJ08002288+1058171 120.095320 10.971417 0.0608 230 4 -3663 514
276864 DESIXJ16104262+5343006 242.677578 53.716822 0.0303 82 1 1485 218
278277 DESIXJ14083160-0007373 212.131658 -0.127035 0.0251 48 1 8538 312
279519 DESIXJ14490575+3051364 222.273963 30.860106 0.1144 251 3 1869 886
279923 DESIXJ13115351+5138519 197.972938 51.647764 0.0296 44 13 7010 3852
284698 DESIXJ12511290+0451323 192.803752 4.858971 0.0251 340 2 -3077 158
285670 DESIXJ03185938+0113473 49.747407 1.229808 0.0376 36 8 7904 3326
285936 DESIXJ12064452+5827274 181.685483 58.457609 0.0651 98 0 21333 360
287858 DESIXJ13012504+0428101 195.354323 4.469461 0.0236 73 5 -2746 705
288447 DESIXJ13443127+0816153 206.130293 8.270908 0.0229 31 1 7897 496
289515 DESIXJ13570654+0558343 209.277248 5.976192 0.0827 158 1 5633 456
292495 DESIXJ08413949+0327213 130.414551 3.455925 0.0498 178 5 1628 569
298012 DESIXJ17044724+3427424 256.196827 34.461791 0.0336 61 2 592 501
298103 DESIXJ14580774+3755263 224.532230 37.923979 0.0301 83 4 -4603 641
298823 DESIXJ15125703+0210544 228.237641 2.181787 0.1001 51 2 40542 2129
300024 DESIXJ10212380-0111544 155.349150 -1.198448 0.0946 243 6 -4854 1055
300784 DESIXJ16373243+3305292 249.385108 33.091455 0.1007 145 8 9963 2296
301600 DESIXJ12362050+6108389 189.085427 61.144150 0.0568 111 1 3454 533
305319 DESIXJ16070148+4303343 241.756184 43.059528 0.0886 13 1 87803 4601
306395 DESIXJ02281357-0009091 37.056557 -0.152522 0.0593 86 6 8988 1640
308091 DESIXJ15561221+0745400 239.050884 7.761116 0.0723 50 3 34947 1647
312467 DESIXJ17474202+1816181 266.925088 18.271703 0.0195 31 1 8270 434
319327 DESIXJ23020989+1841561 345.541194 18.698924 0.0352 141 4 483 419
320043 DESIXJ10185707+0139361 154.737792 1.660017 0.0458 205 0 2548 214
323236 DESIXJ10452916-0122378 161.371508 -1.377174 0.0370 113 3 -2075 400
326708 DESIXJ17262751+3114222 261.614625 31.239498 0.0491 44 2 21033 1112
329978 DESIXJ10385731-0556562 159.738791 -5.948944 0.0426 113 1 2372 241
331109 DESIXJ18150713+3651458 273.779724 36.862713 0.0442 196 1 -3800 263
333663 DESIXJ10375430-0256253 159.476243 -2.940368 0.0377 20 2 24062 1783
336546 DESIXJ11022936-0339190 165.622340 -3.655273 0.0172 116 3 -819 201
338966 DESIXJ01201117+0221540 20.046529 2.364997 0.0071 14 1 1173 277
343358 DESIXJ11501689-0644584 177.570389 -6.749554 0.0845 164 2 3988 528
344618 DESIXJ17475008+3840419 266.958664 38.678297 0.0347 194 6 -6282 472
344723 DESIXJ02134681-0434547 33.445034 -4.581875 0.0707 115 1 8691 507
346928 DESIXJ11271545+0131564 171.814366 1.532333 0.0295 91 1 1723 244
348860 DESIXJ10411579-0141121 160.315796 -1.686699 0.0599 169 4 -5014 724
352540 DESIXJ08392577-0122113 129.857388 -1.369808 0.0479 83 1 9670 391
356000 DESIXJ10541593-0212371 163.566373 -2.210293 0.0528 183 4 -1667 483
359183 DESIXJ11152042-0149025 168.835099 -1.817364 0.0298 129 1 -2498 164
359486 DESIXJ13122651-0247320 198.110450 -2.792215 0.0133 19 6 6334 2227
361986 DESIXJ13483434+0842592 207.143071 8.716442 0.0672 92 4 18108 1264
363053 DESIXJ15235619+0515198 230.984126 5.255512 0.0429 42 5 17518 2356
367124 DESIXJ11271885-0103356 171.828549 -1.059877 0.0412 66 7 2590 1773
