SGA_ID,Predicted_Type_spiral,Predicted_Type_elliptical,Predicted_Type_irregular,Predicted_Type_lenticular,Predicted_Type
1237705.0,Other,Other,Irregular,Other,Irregular
1237558.0,Spiral,Other,Other,Other,Spiral
1237469.0,Other,Other,Irregular,Other,Irregular
1237451.0,Spiral,Other,Other,Other,Spiral
1237087.0,Spiral,Other,Other,Other,Spiral
1237179.0,Spiral,Other,Other,Other,Spiral
1237198.0,Spiral,Other,Other,Other,Spiral
1236931.0,Spiral,Other,Other,Other,Spiral
1237217.0,Spiral,Other,Other,Other,Spiral
1237275.0,Spiral,Other,Other,Other,Spiral
1237318.0,Other,Other,Irregular,Other,Irregular
1237327.0,Spiral,Other,Other,Other,Spiral
1237384.0,Spiral,Other,Other,Other,Spiral
1237395.0,Other,Other,Irregular,Other,Irregular
1237397.0,Spiral,Other,Other,Other,Spiral
1200672.0,Spiral,Other,Other,Other,Spiral
1180348.0,Spiral,Other,Other,Other,Spiral
1180289.0,Spiral,Other,Other,Other,Spiral
1180285.0,Other,Other,Irregular,Other,Irregular
1180271.0,Other,Other,Irregular,Other,Irregular
1180265.0,Spiral,Other,Other,Other,Spiral
1180224.0,Other,Other,Irregular,Other,Irregular
1180166.0,Spiral,Other,Other,Other,Spiral
1180134.0,Other,Other,Irregular,Other,Irregular
1180118.0,Spiral,Other,Other,Other,Spiral
1180072.0,Spiral,Other,Other,Other,Spiral
1180062.0,Spiral,Other,Other,Other,Spiral
1180362.0,Spiral,Other,Other,Other,Spiral
1179999.0,Spiral,Other,Other,Other,Spiral
1179924.0,Spiral,Other,Other,Other,Spiral
1179918.0,Other,Other,Irregular,Other,Irregular
1179880.0,Spiral,Other,Other,Other,Spiral
1179864.0,Spiral,Other,Other,Other,Spiral
1179823.0,Spiral,Other,Other,Other,Spiral
1179767.0,Spiral,Other,Other,Other,Spiral
1179745.0,Spiral,Other,Other,Other,Spiral
1179707.0,Spiral,Other,Other,Other,Spiral
1179683.0,Spiral,Other,Other,Other,Spiral
1180001.0,Other,Other,Irregular,Other,Irregular
1180395.0,Other,Other,Irregular,Other,Irregular
1180409.0,Other,Other,Irregular,Other,Irregular
1181107.0,Other,Other,Irregular,Other,Irregular
1181088.0,Spiral,Other,Other,Other,Spiral
1181058.0,Spiral,Other,Other,Other,Spiral
1180941.0,Spiral,Other,Other,Other,Spiral
1180929.0,Spiral,Other,Other,Other,Spiral
1180889.0,Other,Other,Irregular,Other,Irregular
5003075.0,Spiral,Other,Other,Other,Spiral
1180835.0,Spiral,Other,Other,Other,Spiral
1180827.0,Spiral,Other,Other,Other,Spiral
1180819.0,Other,Other,Irregular,Other,Irregular
1180812.0,Spiral,Other,Other,Other,Spiral
1180795.0,Spiral,Other,Other,Other,Spiral
1180728.0,Spiral,Other,Other,Other,Spiral
1180714.0,Spiral,Other,Other,Other,Spiral
1180444.0,Spiral,Other,Other,Other,Spiral
1180464.0,Spiral,Other,Other,Other,Spiral
1180530.0,Spiral,Other,Other,Other,Spiral
1180581.0,Spiral,Other,Other,Other,Spiral
1180639.0,Spiral,Other,Other,Other,Spiral
1180651.0,Spiral,Other,Other,Other,Spiral
1180665.0,Spiral,Other,Other,Other,Spiral
1180669.0,Spiral,Other,Other,Other,Spiral
1180690.0,Spiral,Other,Other,Other,Spiral
1180695.0,Spiral,Other,Other,Other,Spiral
1180700.0,Spiral,Other,Other,Other,Spiral
1180640.0,Spiral,Other,Other,Other,Spiral
1179634.0,Spiral,Other,Other,Other,Spiral
1179617.0,Other,Other,Other,Lenticular,Lenticular
1179596.0,Spiral,Other,Other,Other,Spiral
1178477.0,Other,Other,Irregular,Other,Irregular
1178450.0,Spiral,Other,Other,Other,Spiral
1178419.0,Other,Other,Irregular,Other,Irregular
1178308.0,Spiral,Other,Other,Other,Spiral
1178277.0,Spiral,Other,Other,Other,Spiral
1178248.0,Other,Other,Irregular,Other,Irregular
1178228.0,Spiral,Other,Other,Other,Spiral
1178209.0,Spiral,Other,Other,Other,Spiral
1178183.0,Spiral,Other,Other,Other,Spiral
1178126.0,Spiral,Other,Other,Other,Spiral
1177935.0,Other,Other,Irregular,Other,Irregular
1177529.0,Other,Other,Irregular,Other,Irregular
1177536.0,Spiral,Other,Other,Other,Spiral
1177635.0,Other,Other,Irregular,Other,Irregular
1177650.0,Spiral,Other,Other,Other,Spiral
1177683.0,Other,Other,Irregular,Other,Irregular
1177691.0,Other,Other,Irregular,Other,Irregular
1177732.0,Spiral,Other,Other,Other,Spiral
1177745.0,Spiral,Other,Other,Other,Spiral
1177818.0,Spiral,Other,Other,Other,Spiral
1177709.0,Spiral,Other,Other,Other,Spiral
1181119.0,Other,Other,Irregular,Other,Irregular
1178684.0,Other,Other,Irregular,Other,Irregular
1179580.0,Spiral,Other,Other,Other,Spiral
1179549.0,Spiral,Other,Other,Other,Spiral
1179533.0,Spiral,Other,Other,Other,Spiral
1179488.0,Spiral,Other,Other,Other,Spiral
1179470.0,Other,Other,Irregular,Other,Irregular
1179412.0,Spiral,Other,Other,Other,Spiral
1179206.0,Other,Other,Irregular,Other,Irregular
1179201.0,Other,Other,Irregular,Other,Irregular
1179137.0,Spiral,Other,Other,Other,Spiral
1179058.0,Spiral,Other,Other,Other,Spiral
1178698.0,Spiral,Other,Other,Other,Spiral
1178714.0,Spiral,Other,Other,Other,Spiral
1178733.0,Spiral,Other,Other,Other,Spiral
1178745.0,Spiral,Other,Other,Other,Spiral
1178764.0,Other,Other,Irregular,Other,Irregular
1178789.0,Spiral,Other,Other,Other,Spiral
1178587.0,Spiral,Other,Other,Other,Spiral
1178814.0,Other,Other,Irregular,Other,Irregular
1178866.0,Spiral,Other,Other,Other,Spiral
1178894.0,Spiral,Other,Other,Other,Spiral
1178916.0,Spiral,Other,Other,Other,Spiral
1178943.0,Spiral,Other,Other,Other,Spiral
1178819.0,Other,Other,Irregular,Other,Irregular
1181149.0,Other,Other,Irregular,Other,Irregular
1181204.0,Spiral,Other,Other,Other,Spiral
1181316.0,Spiral,Other,Other,Other,Spiral
1183698.0,Spiral,Other,Other,Other,Spiral
