SGA_ID,Spiral,Spiral_Pred,Elliptical,Elliptical_Pred,Irregular,Irregular_Pred,Lenticular,Lenticular_Pred
32518.0,0,Other,0,Other,0,Other,0,Other
32603.0,0,Other,0,Other,0,Other,0,Other
32608.0,0,Other,0,Other,0,Other,0,Other
32759.0,0,Other,0,Other,0,Other,0,Other
32819.0,1,Spiral,0,Other,0,Other,0,Other
33000.0,1,Spiral,0,Other,0,Other,0,Other
33321.0,1,Spiral,0,Other,0,Other,0,Other
33448.0,0,Other,0,Other,1,Irregular,0,Other
33557.0,0,Other,0,Other,0,Other,0,Other
33683.0,1,Spiral,0,Other,0,Other,0,Other
33714.0,1,Spiral,0,Other,0,Other,0,Other
33715.0,1,Spiral,0,Other,0,Other,0,Other
33824.0,0,Other,0,Other,0,Other,0,Other
33883.0,1,Spiral,0,Other,0,Other,0,Other
33900.0,1,Spiral,0,Other,0,Other,0,Other
34143.0,1,Spiral,0,Other,0,Other,0,Other
34168.0,0,Other,0,Other,0,Other,0,Other
34203.0,1,Spiral,0,Other,0,Other,0,Other
34318.0,0,Other,0,Other,1,Irregular,0,Other
34325.0,0,Other,0,Other,0,Other,0,Other
34515.0,1,Spiral,0,Other,0,Other,0,Other
34559.0,1,Spiral,0,Other,0,Other,0,Other
34569.0,1,Spiral,0,Other,0,Other,0,Other
34831.0,1,Spiral,0,Other,0,Other,0,Other
34967.0,1,Spiral,0,Other,0,Other,0,Other
35184.0,1,Spiral,0,Other,0,Other,0,Other
35282.0,0,Other,0,Other,0,Other,0,Other
35412.0,1,Spiral,0,Other,0,Other,0,Other
35428.0,1,Spiral,0,Other,0,Other,0,Other
35442.0,1,Spiral,0,Other,0,Other,0,Other
35541.0,0,Other,0,Other,0,Other,0,Other
35583.0,1,Spiral,0,Other,0,Other,0,Other
35725.0,1,Spiral,0,Other,0,Other,0,Other
35888.0,0,Other,0,Other,0,Other,0,Other
35911.0,1,Spiral,0,Other,0,Other,0,Other
35965.0,1,Spiral,0,Other,0,Other,0,Other
36046.0,1,Spiral,0,Other,0,Other,0,Other
36247.0,0,Other,0,Other,1,Irregular,0,Other
36305.0,0,Other,0,Other,1,Irregular,0,Other
36380.0,1,Spiral,0,Other,0,Other,0,Other
36408.0,0,Other,0,Other,1,Irregular,0,Other
36435.0,1,Spiral,0,Other,0,Other,0,Other
36492.0,1,Spiral,0,Other,0,Other,0,Other
36539.0,0,Other,0,Other,0,Other,0,Other
36608.0,0,Other,0,Other,1,Irregular,0,Other
36792.0,0,Other,0,Other,1,Irregular,0,Other
36913.0,1,Spiral,0,Other,0,Other,0,Other
36965.0,0,Other,0,Other,0,Other,0,Other
37053.0,1,Spiral,0,Other,0,Other,0,Other
37074.0,1,Spiral,0,Other,0,Other,0,Other
37162.0,0,Other,0,Other,0,Other,0,Other
37176.0,1,Spiral,0,Other,0,Other,0,Other
37196.0,1,Spiral,0,Other,0,Other,0,Other
37269.0,1,Spiral,0,Other,0,Other,0,Other
37422.0,0,Other,0,Other,1,Irregular,0,Other
37469.0,0,Other,0,Other,1,Irregular,0,Other
37476.0,1,Spiral,0,Other,0,Other,0,Other
37543.0,0,Other,0,Other,1,Irregular,0,Other
37619.0,1,Spiral,0,Other,0,Other,0,Other
37800.0,0,Other,0,Other,0,Other,0,Other
37839.0,1,Spiral,0,Other,0,Other,0,Other
38018.0,0,Other,0,Other,0,Other,0,Other
38052.0,0,Other,0,Other,0,Other,0,Other
38088.0,0,Other,0,Other,0,Other,0,Other
38502.0,0,Other,0,Other,0,Other,0,Other
38517.0,1,Spiral,0,Other,0,Other,0,Other
38598.0,1,Spiral,0,Other,0,Other,0,Other
38611.0,1,Spiral,0,Other,0,Other,0,Other
38657.0,0,Other,0,Other,0,Other,0,Other
38686.0,0,Other,0,Other,0,Other,0,Other
38801.0,1,Spiral,0,Other,0,Other,0,Other
38819.0,1,Spiral,0,Other,0,Other,0,Other
38882.0,1,Spiral,0,Other,0,Other,0,Other
38988.0,0,Other,0,Other,0,Other,0,Other
39114.0,0,Other,0,Other,0,Other,0,Other
39182.0,1,Spiral,0,Other,0,Other,0,Other
39187.0,0,Other,0,Other,0,Other,0,Other
39242.0,1,Spiral,0,Other,0,Other,0,Other
39256.0,1,Spiral,0,Other,0,Other,0,Other
39259.0,1,Spiral,0,Other,0,Other,0,Other
39309.0,0,Other,0,Other,0,Other,0,Other
39397.0,0,Other,0,Other,0,Other,0,Other
39743.0,0,Other,0,Other,0,Other,0,Other
39797.0,0,Other,0,Other,0,Other,0,Other
39849.0,0,Other,0,Other,0,Other,0,Other
39919.0,1,Spiral,0,Other,0,Other,0,Other
40074.0,1,Spiral,0,Other,0,Other,0,Other
40182.0,0,Other,0,Other,0,Other,0,Other
40199.0,0,Other,0,Other,0,Other,1,Lenticular
40300.0,1,Spiral,0,Other,0,Other,0,Other
40530.0,1,Spiral,0,Other,0,Other,0,Other
40611.0,0,Other,0,Other,0,Other,0,Other
40666.0,1,Spiral,0,Other,0,Other,0,Other
40926.0,1,Spiral,0,Other,0,Other,0,Other
41071.0,1,Spiral,0,Other,0,Other,0,Other
41074.0,0,Other,0,Other,1,Irregular,0,Other
41319.0,1,Spiral,0,Other,0,Other,0,Other
41703.0,1,Spiral,0,Other,0,Other,0,Other
41847.0,1,Spiral,0,Other,0,Other,0,Other
42001.0,0,Other,0,Other,0,Other,0,Other
42012.0,0,Other,0,Other,0,Other,0,Other
42514.0,0,Other,0,Other,1,Irregular,0,Other
43277.0,1,Spiral,0,Other,0,Other,0,Other
43314.0,0,Other,0,Other,1,Irregular,0,Other
43514.0,1,Spiral,0,Other,0,Other,0,Other
43666.0,0,Other,0,Other,1,Irregular,0,Other
43704.0,0,Other,0,Other,0,Other,0,Other
44099.0,0,Other,0,Other,0,Other,0,Other
44497.0,0,Other,0,Other,0,Other,0,Other
44615.0,1,Spiral,0,Other,0,Other,0,Other
44794.0,0,Other,0,Other,0,Other,0,Other
44843.0,0,Other,0,Other,1,Irregular,0,Other
44993.0,0,Other,0,Other,0,Other,0,Other
45027.0,0,Other,0,Other,0,Other,0,Other
45106.0,0,Other,0,Other,0,Other,0,Other
45215.0,0,Other,0,Other,1,Irregular,0,Other
45326.0,1,Spiral,0,Other,0,Other,0,Other
45339.0,1,Spiral,0,Other,0,Other,0,Other
45377.0,1,Spiral,0,Other,0,Other,0,Other
45609.0,0,Other,0,Other,0,Other,0,Other
45778.0,0,Other,0,Other,1,Irregular,0,Other
45837.0,1,Spiral,0,Other,0,Other,0,Other
46327.0,0,Other,0,Other,1,Irregular,0,Other
46429.0,1,Spiral,0,Other,0,Other,0,Other
46712.0,0,Other,0,Other,0,Other,0,Other
47046.0,1,Spiral,0,Other,0,Other,0,Other
47293.0,0,Other,0,Other,0,Other,0,Other
47854.0,0,Other,0,Other,0,Other,0,Other
47895.0,0,Other,0,Other,1,Irregular,0,Other
48103.0,0,Other,0,Other,1,Irregular,0,Other
48123.0,1,Spiral,0,Other,0,Other,0,Other
48139.0,1,Spiral,0,Other,0,Other,0,Other
48474.0,1,Spiral,0,Other,0,Other,0,Other
49025.0,1,Spiral,0,Other,0,Other,0,Other
49263.0,1,Spiral,0,Other,0,Other,0,Other
49288.0,0,Other,0,Other,0,Other,0,Other
49741.0,1,Spiral,0,Other,0,Other,0,Other
49759.0,1,Spiral,0,Other,0,Other,0,Other
49831.0,0,Other,0,Other,0,Other,0,Other
49881.0,1,Spiral,0,Other,0,Other,0,Other
49905.0,1,Spiral,0,Other,0,Other,0,Other
50400.0,1,Spiral,0,Other,0,Other,0,Other
50579.0,1,Spiral,0,Other,0,Other,0,Other
50867.0,1,Spiral,0,Other,0,Other,0,Other
51015.0,1,Spiral,0,Other,0,Other,0,Other
51038.0,0,Other,0,Other,1,Irregular,0,Other
51242.0,1,Spiral,0,Other,0,Other,0,Other
51436.0,1,Spiral,0,Other,0,Other,0,Other
51691.0,1,Spiral,0,Other,0,Other,0,Other
52375.0,0,Other,0,Other,0,Other,0,Other
52414.0,0,Other,0,Other,0,Other,0,Other
52434.0,0,Other,0,Other,1,Irregular,0,Other
52557.0,1,Spiral,0,Other,0,Other,0,Other
52642.0,1,Spiral,0,Other,0,Other,0,Other
52654.0,1,Spiral,0,Other,0,Other,0,Other
52657.0,1,Spiral,0,Other,0,Other,0,Other
52664.0,1,Spiral,0,Other,0,Other,0,Other
52898.0,1,Spiral,0,Other,0,Other,0,Other
52976.0,1,Spiral,0,Other,0,Other,0,Other
53125.0,1,Spiral,0,Other,0,Other,0,Other
53170.0,0,Other,0,Other,0,Other,0,Other
54205.0,1,Spiral,0,Other,0,Other,0,Other
54721.0,0,Other,0,Other,1,Irregular,0,Other
54845.0,1,Spiral,0,Other,0,Other,0,Other
55154.0,1,Spiral,0,Other,0,Other,0,Other
56048.0,1,Spiral,0,Other,0,Other,0,Other
56285.0,1,Spiral,0,Other,0,Other,0,Other
56767.0,0,Other,0,Other,0,Other,0,Other
56886.0,1,Spiral,0,Other,0,Other,0,Other
56934.0,1,Spiral,0,Other,0,Other,0,Other
57104.0,1,Spiral,0,Other,0,Other,0,Other
57294.0,0,Other,0,Other,1,Irregular,0,Other
57591.0,1,Spiral,0,Other,0,Other,0,Other
57733.0,0,Other,0,Other,1,Irregular,0,Other
57878.0,0,Other,0,Other,0,Other,0,Other
58511.0,0,Other,0,Other,0,Other,1,Lenticular
58837.0,1,Spiral,0,Other,0,Other,0,Other
58867.0,1,Spiral,0,Other,0,Other,0,Other
59006.0,1,Spiral,0,Other,0,Other,0,Other
59013.0,1,Spiral,0,Other,0,Other,0,Other
59263.0,1,Spiral,0,Other,0,Other,0,Other
59381.0,1,Spiral,0,Other,0,Other,0,Other
59575.0,1,Spiral,0,Other,0,Other,0,Other
59839.0,1,Spiral,0,Other,0,Other,0,Other
59883.0,0,Other,0,Other,0,Other,0,Other
60045.0,0,Other,0,Other,0,Other,0,Other
60056.0,0,Other,0,Other,1,Irregular,0,Other
60141.0,1,Spiral,0,Other,0,Other,0,Other
60180.0,1,Spiral,0,Other,0,Other,0,Other
60487.0,1,Spiral,0,Other,0,Other,0,Other
60516.0,0,Other,0,Other,1,Irregular,0,Other
60664.0,1,Spiral,0,Other,0,Other,0,Other
60707.0,1,Spiral,0,Other,0,Other,0,Other
60922.0,1,Spiral,0,Other,0,Other,0,Other
61059.0,1,Spiral,0,Other,0,Other,0,Other
61471.0,0,Other,0,Other,0,Other,0,Other
61684.0,1,Spiral,0,Other,0,Other,0,Other
61768.0,0,Other,0,Other,1,Irregular,0,Other
62270.0,0,Other,0,Other,1,Irregular,0,Other
62329.0,0,Other,0,Other,0,Other,0,Other
62576.0,0,Other,0,Other,0,Other,0,Other
62755.0,1,Spiral,0,Other,0,Other,0,Other
63089.0,0,Other,0,Other,1,Irregular,0,Other
63092.0,0,Other,0,Other,1,Irregular,0,Other
63128.0,0,Other,0,Other,0,Other,0,Other
63208.0,1,Spiral,0,Other,0,Other,0,Other
63238.0,1,Spiral,0,Other,0,Other,0,Other
63795.0,1,Spiral,0,Other,0,Other,0,Other
64187.0,1,Spiral,0,Other,0,Other,0,Other
