# RA DEC
5.01625 6.675
5.01917 10.88222
5.01875 8.50917
5.03583 14.29639
5.04333 0.01694
5.06958 23.13472
5.07083 6.21167
5.08125 7.7
5.10375 21.87806
5.10583 22.08972
5.11042 0.83417
5.11833 25.10722
5.11667 -0.00639
5.13792 15.35222
5.14125 6.81583
5.155 34.56028
5.16458 25.22417
5.16167 6.965
5.16958 29.035
5.16875 6.07889
5.17208 22.59167
5.17208 8.61417
5.17583 11.14472
5.18542 10.34333
5.1875 9.82972
5.19042 15.24417
5.19917 15.69028
5.19417 6.80472
5.20083 14.22083
5.20083 15.055
5.20125 22.06222
5.20542 29.41333
5.20417 0.17833
5.20458 9.92056
5.21208 20.03472
5.22 31.48361
5.22 15.39861
5.22167 12.85972
5.23542 21.87083
5.24417 17.69167
5.24792 10.69444
5.25542 7.63
5.26167 6.42167
5.28292 4.11667
5.29083 26.50639
5.28667 11.07417
5.29042 16.24917
5.29708 5.08889
5.30792 30.47445
5.31375 29.8525
5.31333 26.38528
5.32458 23.09028
5.31917 17.21583
5.32167 22.52944
5.33375 17.34528
5.34583 25.72528
5.36667 22.50306
5.37208 28.90722
5.37708 29.66805
5.38583 3.59833
5.40083 28.45917
5.40292 25.48278
5.42625 14.21
5.445 35.84139
5.44417 30.08778
5.44583 21.26278
5.45333 22.03056
5.46292 18.77389
5.4725 22.40167
5.48583 34.62694
5.4975 15.975
5.50833 23.82278
5.51 29.30055
5.515 22.41722
5.52125 23.73889
5.52792 25.48361
5.54333 27.04944
5.53958 11.82083
5.54042 10.37528
5.5475 10.07083
5.55125 11.29972
5.55458 25.94278
5.56375 20.61278
5.55708 10.49222
5.55958 5.11028
5.55542 34.70278
5.58125 29.84833
5.58375 15.94139
5.58667 0.01167
5.60167 30.27583
5.60917 29.50722
5.61292 25.96167
5.61458 28.26417
5.61875 27.17444
5.6375 28.12111
5.64375 35.7875
5.66583 29.21472
5.67958 19.39722
5.68458 29.94611
5.68542 14.94694
5.68625 6.10917
5.70542 23.925
5.71083 25.80861
5.71042 24.14889
5.70583 6.96722
5.71042 6.81861
5.71542 16.65222
5.725 23.1725
5.73 26.12583
5.72458 7.1975
